Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sun,Matchweek 1,Away,W 1–0,Arsenal,Newcastle Utd,N,LW,19,0,0,0,0,0,0,0,0,13,6,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,17,11,19,1,1
Sat,Matchweek 2,Home,W 2–1,Arsenal,Burnley,N,LW FW,45,0,0,0,0,1,1,0,0,33,5,2,0,0,0.0,0.0,0.2,2,0,22,25,88.0,117,30,215,2,4
Sat,Matchweek 3,Away,L 1–3,Arsenal,Liverpool,Y,FW RW,90,0,0,0,0,4,2,0,0,40,18,0,0,0,0.5,0.5,0.2,4,0,19,25,76.0,53,38,266,6,10
Sun,Matchweek 4,Home,D 2–2,Arsenal,Tottenham,Y,RW,90,0,1,0,0,7,1,0,0,56,17,1,0,0,0.6,0.6,0.4,3,1,30,42,71.4,168,48,243,5,7
Sun,Matchweek 5,Away,D 2–2,Arsenal,Watford,Y,FW RW,90,0,0,0,0,1,0,0,0,45,14,1,1,1,0.0,0.0,0.1,1,0,25,36,69.4,47,37,159,3,5
Sun,Matchweek 6,Home,W 3–2,Arsenal,Aston Villa,Y,RW FW,90,1,0,1,1,4,1,1,0,50,9,0,1,0,0.9,0.2,0.2,6,0,35,40,87.5,169,44,240,3,5
Mon,Matchweek 7,Away,D 1–1,Arsenal,Manchester Utd,Y,RW,74,0,0,0,0,2,1,0,0,39,10,1,0,0,0.2,0.2,0.2,1,0,18,27,66.7,74,33,98,2,3
Sun,Matchweek 8,Home,W 1–0,Arsenal,Bournemouth,Y,RW,63,0,1,0,0,1,0,0,0,28,16,1,0,1,0.1,0.1,0.0,1,1,10,17,58.8,59,23,63,4,5
Mon,Matchweek 9,Away,L 0–1,Arsenal,Sheffield Utd,Y,RW,78,0,0,0,0,3,1,0,0,62,7,5,0,2,0.5,0.5,0.1,2,0,36,45,80.0,210,47,198,7,10
Sun,Matchweek 10,Home,D 2–2,Arsenal,Crystal Palace,Y,CM,90,0,0,0,0,2,0,0,0,57,20,5,1,0,0.2,0.2,0.2,4,0,27,43,62.8,190,39,146,2,5
Sat,Matchweek 12,Away,L 0–2,Arsenal,Leicester City,N,RW,13,0,0,0,0,0,0,0,0,10,3,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,2,11,15,2,2
Sat,Matchweek 13,Home,D 2–2,Arsenal,Southampton,N,RW WB,45,0,0,0,0,1,0,1,0,28,9,2,0,0,0.2,0.2,0.0,0,0,18,19,94.7,70,21,45,1,4
Thu,Matchweek 15,Home,L 1–2,Arsenal,Brighton,N,RW,45,0,0,0,0,3,1,0,0,24,14,0,0,1,0.2,0.2,0.2,4,1,10,12,83.3,76,21,214,2,5
Mon,Matchweek 16,Away,W 3–1,Arsenal,West Ham,Y,RW,88,1,1,0,0,1,1,0,0,65,15,0,1,2,0.0,0.0,0.0,2,1,34,43,79.1,126,60,339,3,7
Sun,Matchweek 17,Home,L 0–3,Arsenal,Manchester City,Y,RW,90,0,0,0,0,1,0,0,0,54,21,0,0,0,0.0,0.0,0.0,1,0,33,44,75.0,46,49,187,2,4
Thu,Matchweek 19,Away,D 1–1,Arsenal,Bournemouth,N,RW,8,0,0,0,0,0,0,0,0,10,0,0,1,0,0.0,0.0,0.0,0,0,8,8,100.0,0,12,83,2,2
Sun,Matchweek 20,Home,L 1–2,Arsenal,Chelsea,N,RW,4,0,0,0,0,0,0,0,0,4,3,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
Wed,Matchweek 21,Home,W 2–0,Arsenal,Manchester Utd,Y,RW,62,1,0,0,0,2,1,0,0,44,22,1,1,1,0.3,0.3,0.4,6,0,28,29,96.6,132,35,167,4,7
Sat,Matchweek 22,Away,D 1–1,Arsenal,Crystal Palace,Y,RW,90,0,0,0,0,1,1,1,0,41,18,1,0,2,0.0,0.0,0.0,2,0,16,25,64.0,44,31,89,2,5
Sat,Matchweek 23,Home,D 1–1,Arsenal,Sheffield Utd,Y,RW,90,0,0,0,0,3,1,0,0,50,22,1,0,0,0.2,0.2,0.2,3,0,25,35,71.4,60,45,253,2,6
Tue,Matchweek 24,Away,D 2–2,Arsenal,Chelsea,Y,RW,81,0,0,0,0,0,0,0,0,39,18,1,0,1,0.0,0.0,0.0,0,0,14,28,50.0,40,34,170,3,6
Sun,Matchweek 26,Home,W 4–0,Arsenal,Newcastle Utd,Y,RW,90,1,2,0,0,3,1,0,0,69,14,2,1,3,0.3,0.3,0.8,6,3,44,56,78.6,160,53,283,1,1
Sun,Matchweek 27,Home,W 3–2,Arsenal,Everton,Y,RW,90,0,1,0,0,1,1,0,0,40,10,1,0,1,0.0,0.0,0.2,4,1,24,30,80.0,76,32,140,1,3
Sat,Matchweek 29,Home,W 1–0,Arsenal,West Ham,Y,RW,69,0,0,0,0,2,0,0,0,47,8,1,0,1,0.1,0.1,0.0,1,0,28,35,80.0,46,40,166,2,5
