Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 1,Home,D 1–1,Bournemouth,Sheffield Utd,Y,FW,90,0,0,0,0,1,1,0,0,21,19,0,0,1,0.4,0.4,0.0,1,1,6,14,42.9,29,16,45,0,0
Sat,Matchweek 2,Away,W 2–1,Bournemouth,Aston Villa,Y,FW,90,0,0,0,0,1,0,0,0,29,18,0,0,1,0.0,0.0,0.2,7,1,13,18,72.2,25,21,76,0,1
Sun,Matchweek 3,Home,L 1–3,Bournemouth,Manchester City,Y,FW,69,0,0,0,0,1,1,0,0,14,31,0,0,2,0.4,0.4,0.1,2,1,5,6,83.3,10,6,1,0,0
Sat,Matchweek 4,Away,L 1–3,Bournemouth,Leicester City,Y,FW AM,90,1,0,0,0,1,1,1,0,25,24,0,1,0,0.3,0.3,0.2,4,0,13,18,72.2,37,20,140,0,1
Sun,Matchweek 5,Home,W 3–1,Bournemouth,Everton,Y,FW,90,2,0,0,0,2,2,0,0,28,34,0,1,0,0.7,0.7,0.0,0,0,8,15,53.3,63,19,46,1,4
Fri,Matchweek 6,Away,W 3–1,Bournemouth,Southampton,Y,FW,90,1,0,0,0,1,1,0,0,23,47,1,0,0,0.9,0.9,0.0,0,0,7,14,50.0,41,15,96,1,6
Sat,Matchweek 7,Home,D 2–2,Bournemouth,West Ham,Y,FW,90,1,0,0,0,6,4,0,0,31,11,0,0,0,1.2,1.2,0.0,4,0,11,19,57.9,20,20,48,2,3
Sun,Matchweek 8,Away,L 0–1,Bournemouth,Arsenal,Y,FW,90,0,0,0,0,1,1,0,0,30,29,2,0,1,0.0,0.0,0.0,2,0,14,21,66.7,28,23,84,3,3
Sat,Matchweek 9,Home,D 0–0,Bournemouth,Norwich City,Y,FW,90,0,0,0,0,2,0,0,0,33,44,0,0,0,0.1,0.1,0.2,1,0,11,18,61.1,54,25,72,0,1
Sat,Matchweek 10,Away,D 0–0,Bournemouth,Watford,Y,FW,74,0,0,0,0,0,0,1,0,17,20,0,0,0,0.0,0.0,0.0,2,0,8,11,72.7,60,15,16,1,1
Sat,Matchweek 11,Home,W 1–0,Bournemouth,Manchester Utd,Y,FW,90,0,0,0,0,1,0,1,0,41,18,1,1,0,0.4,0.4,0.1,5,0,19,26,73.1,122,32,92,2,2
Sat,Matchweek 12,Away,L 1–2,Bournemouth,Newcastle Utd,Y,FW,90,0,0,0,0,1,0,0,0,23,24,0,0,0,0.1,0.1,0.0,1,0,13,16,81.3,39,21,68,1,1
Sat,Matchweek 13,Home,L 1–2,Bournemouth,Wolves,Y,FW,90,0,0,0,0,1,0,0,0,24,13,1,0,0,0.1,0.1,0.1,1,0,10,14,71.4,14,18,25,0,0
Sat,Matchweek 14,Away,L 2–3,Bournemouth,Tottenham,Y,FW,90,0,0,0,0,3,0,0,0,21,12,0,0,0,0.1,0.1,0.0,1,0,7,10,70.0,13,18,74,1,2
Tue,Matchweek 15,Away,L 0–1,Bournemouth,Crystal Palace,Y,FW,90,0,0,0,0,0,0,0,0,16,23,0,0,0,0.0,0.0,0.0,2,0,7,10,70.0,25,14,30,0,0
Sat,Matchweek 16,Home,L 0–3,Bournemouth,Liverpool,Y,FW,64,0,0,0,0,0,0,0,0,12,9,0,0,0,0.0,0.0,0.0,0,0,4,10,40.0,11,8,58,1,2
Sat,Matchweek 18,Home,L 0–1,Bournemouth,Burnley,N,FW CM,45,0,0,0,0,0,0,0,0,15,4,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,27,13,24,0,0
Thu,Matchweek 19,Home,D 1–1,Bournemouth,Arsenal,Y,FW,90,0,0,0,0,2,1,1,0,15,43,1,0,1,0.1,0.1,0.2,1,0,6,9,66.7,7,12,54,0,1
Sat,Matchweek 20,Away,L 0–2,Bournemouth,Brighton,N,FW,28,0,0,0,0,1,0,0,0,3,6,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,2,0,0
Wed,Matchweek 21,Away,L 0–4,Bournemouth,West Ham,Y,FW,90,0,0,0,0,0,0,0,0,33,32,0,0,1,0.0,0.0,0.1,2,0,18,23,78.3,44,20,72,0,1
Sun,Matchweek 22,Home,L 0–3,Bournemouth,Watford,Y,FW,90,0,0,0,0,2,0,0,0,28,20,1,0,0,0.1,0.1,0.0,3,0,16,19,84.2,45,18,45,0,0
Sat,Matchweek 23,Away,L 0–1,Bournemouth,Norwich City,Y,FW,90,0,0,0,0,2,1,1,0,29,29,1,0,0,0.2,0.2,0.0,2,0,9,16,56.3,10,18,88,0,0
Tue,Matchweek 24,Home,W 3–1,Bournemouth,Brighton,Y,FW,90,1,0,0,0,1,1,0,0,29,20,2,0,1,0.8,0.8,0.0,3,2,10,16,62.5,55,18,90,2,3
