Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 1,Home,W 3–0,Burnley,Southampton,Y,FW,84,2,0,0,0,4,3,0,0,27,15,0,0,1,0.5,0.5,0.0,1,0,13,18,72.2,46,20,38,5,5
Sat,Matchweek 2,Away,L 1–2,Burnley,Arsenal,Y,FW,90,1,0,0,0,5,3,1,0,34,13,0,1,2,0.7,0.7,0.0,0,0,10,19,52.6,78,16,26,0,0
Sun,Matchweek 3,Away,D 1–1,Burnley,Wolves,Y,FW,78,1,0,0,0,4,1,0,0,24,11,0,0,1,0.4,0.4,0.0,0,0,9,15,60.0,21,15,30,0,0
Sat,Matchweek 4,Home,L 0–3,Burnley,Liverpool,Y,FW,73,0,0,0,0,2,0,0,0,24,12,0,0,0,0.1,0.1,0.0,2,0,10,16,62.5,14,18,21,2,2
Sat,Matchweek 5,Away,D 1–1,Burnley,Brighton,Y,FW,90,0,0,0,0,1,0,0,0,28,17,0,0,0,0.0,0.0,0.0,0,0,10,16,62.5,63,21,40,0,1
Sat,Matchweek 6,Home,W 2–0,Burnley,Norwich City,Y,FW,79,0,0,0,0,5,1,0,0,32,19,0,1,1,0.3,0.3,0.0,1,0,18,21,85.7,21,23,29,2,3
Sat,Matchweek 7,Away,D 2–2,Burnley,Aston Villa,Y,FW CM,83,0,0,0,0,0,0,1,0,25,15,1,0,0,0.0,0.0,0.1,3,0,10,15,66.7,60,14,63,0,2
Sat,Matchweek 8,Home,W 1–0,Burnley,Everton,Y,FW,73,0,0,0,0,2,0,0,0,18,20,1,0,0,0.1,0.1,0.0,0,0,3,7,42.9,0,10,14,0,0
Sat,Matchweek 10,Home,L 2–4,Burnley,Chelsea,Y,FW,63,0,0,0,0,4,1,0,0,22,5,0,1,1,1.1,1.1,0.3,1,0,8,10,80.0,17,14,32,0,0
Sat,Matchweek 11,Away,L 0–3,Burnley,Sheffield Utd,Y,FW,90,0,0,0,0,3,1,1,0,26,8,0,0,0,0.5,0.5,0.0,1,0,9,18,50.0,58,11,26,0,0
Sat,Matchweek 12,Home,W 3–0,Burnley,West Ham,Y,FW,81,1,0,0,0,1,1,0,0,32,18,1,0,3,0.4,0.4,0.0,3,0,9,16,56.3,24,16,26,0,2
Sat,Matchweek 13,Away,W 3–0,Burnley,Watford,Y,FW,90,1,0,1,1,3,0,0,0,22,21,0,1,2,1.0,0.2,0.0,3,1,6,7,85.7,15,13,3,0,0
Sat,Matchweek 14,Home,L 0–2,Burnley,Crystal Palace,Y,FW,62,0,0,0,0,1,0,0,0,12,15,0,0,1,0.1,0.1,0.0,1,0,5,8,62.5,2,7,1,0,0
Tue,Matchweek 15,Home,L 1–4,Burnley,Manchester City,N,FW,31,0,0,0,0,0,0,0,0,13,19,1,0,1,0.0,0.0,0.0,1,0,5,8,62.5,23,5,1,1,1
Sat,Matchweek 17,Home,W 1–0,Burnley,Newcastle Utd,Y,FW,90,0,0,0,0,1,0,0,0,35,12,1,1,3,0.0,0.0,0.1,2,0,13,21,61.9,57,15,32,0,0
Sat,Matchweek 18,Away,W 1–0,Burnley,Bournemouth,Y,FW,75,0,0,0,0,1,0,1,0,28,13,0,1,0,0.0,0.0,0.0,0,0,8,17,47.1,41,19,49,0,0
Thu,Matchweek 19,Away,L 0–1,Burnley,Everton,N,FW,16,0,0,0,0,0,0,0,0,3,5,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,12,1,5,0,0
Sat,Matchweek 20,Home,L 0–2,Burnley,Manchester Utd,Y,FW,68,0,0,0,0,1,0,0,0,16,27,0,0,1,0.0,0.0,0.0,0,0,5,9,55.6,0,11,4,1,1
Wed,Matchweek 21,Home,L 1–2,Burnley,Aston Villa,Y,FW,45,0,0,0,0,1,0,0,0,14,10,0,0,0,0.0,0.0,0.0,0,0,3,10,30.0,0,8,12,0,0
