Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 1,Home,W 3–0,Burnley,Southampton,Y,FW,90,0,0,0,0,1,0,0,0,27,24,0,0,1,0.0,0.0,0.0,0,0,5,16,31.3,17,14,15,1,1
Sat,Matchweek 2,Away,L 1–2,Burnley,Arsenal,Y,FW,61,0,0,0,0,0,0,0,0,19,7,1,0,0,0.0,0.0,0.0,1,0,13,14,92.9,30,8,18,0,0
Sun,Matchweek 3,Away,D 1–1,Burnley,Wolves,Y,FW,90,0,0,0,0,3,1,0,0,34,7,0,0,0,0.4,0.4,0.1,4,0,17,23,73.9,10,26,82,2,2
Sat,Matchweek 4,Home,L 0–3,Burnley,Liverpool,Y,FW,90,0,0,0,0,1,1,0,0,20,11,0,0,0,0.1,0.1,0.0,2,0,9,15,60.0,8,13,18,1,2
Sat,Matchweek 5,Away,D 1–1,Burnley,Brighton,Y,FW,66,0,0,0,0,1,0,0,0,12,10,0,0,0,0.4,0.4,0.0,1,0,4,6,66.7,2,6,3,1,2
Sat,Matchweek 6,Home,W 2–0,Burnley,Norwich City,Y,FW,90,2,0,0,0,4,3,0,0,33,23,0,0,2,0.9,0.9,0.1,4,0,18,20,90.0,29,20,51,1,1
Sat,Matchweek 7,Away,D 2–2,Burnley,Aston Villa,Y,FW,90,1,0,0,0,2,1,0,0,21,17,0,0,1,0.6,0.6,0.0,3,1,11,13,84.6,22,12,45,0,0
Sat,Matchweek 8,Home,W 1–0,Burnley,Everton,Y,FW,90,0,0,0,0,1,0,0,0,27,14,1,0,0,0.1,0.1,0.0,0,0,10,18,55.6,11,17,16,0,0
Sat,Matchweek 9,Away,L 1–2,Burnley,Leicester City,Y,FW,90,1,0,0,0,5,3,1,0,43,21,2,0,1,1.1,1.1,0.0,5,1,14,23,60.9,16,15,59,0,2
Sat,Matchweek 12,Home,W 3–0,Burnley,West Ham,Y,FW,90,1,0,0,0,5,4,0,0,27,13,0,0,2,0.9,0.9,0.0,1,0,8,15,53.3,8,12,30,0,0
Sat,Matchweek 13,Away,W 3–0,Burnley,Watford,Y,FW,75,1,0,0,0,1,1,0,0,14,12,0,0,1,0.3,0.3,0.0,1,0,5,7,71.4,3,6,2,0,1
Sat,Matchweek 14,Home,L 0–2,Burnley,Crystal Palace,Y,FW,90,0,0,0,0,3,1,0,0,28,14,0,1,0,0.8,0.8,0.0,2,0,13,19,68.4,4,15,6,0,0
Tue,Matchweek 15,Home,L 1–4,Burnley,Manchester City,Y,FW,59,0,0,0,0,0,0,0,0,22,25,0,0,1,0.0,0.0,0.0,0,0,6,15,40.0,0,5,1,0,0
Sat,Matchweek 16,Away,L 0–5,Burnley,Tottenham,Y,FW,65,0,0,0,0,1,0,0,0,30,11,0,0,0,0.1,0.1,0.0,1,0,12,21,57.1,34,11,39,0,0
Sat,Matchweek 17,Home,W 1–0,Burnley,Newcastle Utd,Y,FW,85,1,0,0,0,3,2,0,0,25,7,2,0,1,0.3,0.3,0.0,0,0,10,16,62.5,27,13,63,0,1
Sat,Matchweek 18,Away,W 1–0,Burnley,Bournemouth,Y,FW,90,0,0,0,0,0,0,0,0,16,14,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,9,9,17,0,2
Thu,Matchweek 19,Away,L 0–1,Burnley,Everton,Y,FW,74,0,0,0,0,1,0,0,0,19,23,0,0,0,0.1,0.1,0.0,1,0,6,14,42.9,16,10,29,0,0
Sat,Matchweek 20,Home,L 0–2,Burnley,Manchester Utd,Y,FW,90,0,0,0,0,0,0,0,0,27,23,0,0,1,0.0,0.0,0.0,1,0,9,14,64.3,25,14,6,0,0
Wed,Matchweek 21,Home,L 1–2,Burnley,Aston Villa,Y,FW,90,1,0,0,0,5,1,0,0,33,9,1,0,2,0.6,0.6,0.1,2,0,17,23,73.9,30,11,9,0,0
Sat,Matchweek 22,Away,L 0–3,Burnley,Chelsea,Y,FW,90,0,0,0,0,1,0,0,0,30,11,0,1,0,0.2,0.2,0.1,4,0,16,20,80.0,23,14,16,0,0
Sun,Matchweek 23,Home,W 2–1,Burnley,Leicester City,Y,FW,90,1,0,0,0,4,2,0,0,25,13,0,0,1,1.0,1.0,0.0,0,0,12,18,66.7,25,10,4,1,1
Wed,Matchweek 24,Away,W 2–0,Burnley,Manchester Utd,Y,FW,90,1,1,0,0,2,1,0,0,24,27,0,1,0,0.5,0.5,0.0,1,1,9,17,52.9,41,9,18,0,0
Sun,Matchweek 25,Home,D 0–0,Burnley,Arsenal,Y,FW,90,0,0,0,0,1,0,0,0,26,11,0,0,0,0.2,0.2,0.2,5,0,13,18,72.2,13,15,31,1,2
Sat,Matchweek 26,Away,W 2–1,Burnley,Southampton,Y,FW,22,0,0,0,0,0,0,0,0,3,8,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,13,3,21,0,2
Sat,Matchweek 28,Away,D 0–0,Burnley,Newcastle Utd,N,FW,32,0,0,0,0,2,0,0,0,18,7,0,0,0,0.1,0.1,0.0,2,0,5,11,45.5,2,6,6,1,1
Sat,Matchweek 29,Home,D 1–1,Burnley,Tottenham,Y,FW,90,1,0,0,0,6,3,0,0,45,9,2,0,2,1.2,1.2,0.1,3,0,14,23,60.9,13,21,32,0,0
