Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 5,Away,D 1–1,Burnley,Brighton,N,CM,12,0,1,0,0,0,0,0,0,6,3,0,0,1,0.0,0.0,0.0,1,1,3,4,75.0,10,3,9,0,0
Sat,Matchweek 9,Away,L 1–2,Burnley,Leicester City,N,FW,7,0,0,0,0,0,0,0,0,5,1,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,10,0,1
Sat,Matchweek 10,Home,L 2–4,Burnley,Chelsea,N,FW,27,0,0,0,0,2,0,0,0,5,7,0,0,1,0.2,0.2,0.0,0,0,2,2,100.0,0,2,0,1,1
Sat,Matchweek 11,Away,L 0–3,Burnley,Sheffield Utd,N,FW,12,0,0,0,0,0,0,0,0,1,3,0,0,0,0.0,0.0,0.0,1,0,0,0,,0,1,0,0,0
Sat,Matchweek 16,Away,L 0–5,Burnley,Tottenham,N,FW,25,0,0,0,0,0,0,0,0,5,11,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,2
Sat,Matchweek 22,Away,L 0–3,Burnley,Chelsea,N,AM,17,0,0,0,0,0,0,0,0,5,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,4,10,0,0
Sat,Matchweek 26,Away,W 2–1,Burnley,Southampton,N,FW,68,1,0,0,0,3,3,0,0,19,31,0,0,1,0.4,0.4,0.0,1,1,4,6,66.7,24,11,62,2,3
Sat,Matchweek 27,Home,W 3–0,Burnley,Bournemouth,Y,FW,82,1,0,0,0,4,3,0,0,24,22,0,0,1,1.3,1.3,0.0,3,1,6,9,66.7,22,14,76,2,3
Sat,Matchweek 28,Away,D 0–0,Burnley,Newcastle Utd,Y,FW,58,0,0,0,0,0,0,0,0,22,16,0,0,1,0.0,0.0,0.0,1,0,9,16,56.3,29,15,20,0,0
Sat,Matchweek 29,Home,D 1–1,Burnley,Tottenham,N,FW,22,0,0,0,0,1,1,0,0,6,3,0,0,0,0.5,0.5,0.1,2,0,3,3,100.0,3,1,10,0,0
