Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 7,Home,W 2–0,Chelsea,Brighton,N,LW RW,27,0,1,0,0,0,0,0,0,30,4,1,0,2,0.0,0.0,0.0,1,1,22,25,88.0,61,24,122,0,1
Sun,Matchweek 8,Away,W 4–1,Chelsea,Southampton,Y,LW,80,0,1,0,0,3,1,0,0,43,16,0,1,5,0.5,0.5,0.2,7,1,27,31,87.1,88,40,134,3,4
Sat,Matchweek 9,Home,W 1–0,Chelsea,Newcastle Utd,Y,LW,90,0,1,0,0,2,0,0,0,58,3,1,0,0,0.1,0.1,0.7,8,1,36,50,72.0,163,49,232,3,4
Sat,Matchweek 10,Away,W 4–2,Chelsea,Burnley,N,LW,18,0,0,0,0,1,1,1,0,16,2,0,0,0,0.0,0.0,0.0,2,0,9,10,90.0,15,17,112,1,2
Sat,Matchweek 11,Away,W 2–1,Chelsea,Watford,N,LW,7,0,0,0,0,0,0,0,0,14,2,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,27,12,26,1,1
Sat,Matchweek 12,Home,W 2–0,Chelsea,Crystal Palace,N,LW,10,0,0,0,0,1,0,0,0,5,2,0,0,0,0.1,0.1,0.0,0,0,3,4,75.0,1,4,55,0,0
Sat,Matchweek 14,Home,L 0–1,Chelsea,West Ham,N,LW,19,0,0,0,0,1,0,0,0,19,0,0,0,0,0.0,0.0,0.0,0,0,14,16,87.5,60,25,71,6,8
Wed,Matchweek 15,Home,W 2–1,Chelsea,Aston Villa,N,LW,4,0,0,0,0,2,0,0,0,6,0,0,0,0,0.1,0.1,0.0,0,0,2,3,66.7,0,7,46,2,2
Sat,Matchweek 16,Away,L 1–3,Chelsea,Everton,N,RW WB,19,0,0,0,0,1,0,0,0,14,3,1,0,1,0.0,0.0,0.0,1,0,8,11,72.7,21,10,49,1,1
Sat,Matchweek 17,Home,L 0–1,Chelsea,Bournemouth,N,RW,25,0,0,0,0,0,0,0,0,23,3,0,0,0,0.0,0.0,0.0,0,0,15,18,83.3,112,19,112,0,0
Thu,Matchweek 19,Home,L 0–2,Chelsea,Southampton,Y,RW LW,67,0,0,0,0,3,0,0,0,43,11,0,0,0,0.1,0.1,0.1,2,0,25,30,83.3,111,38,120,1,3
Sun,Matchweek 20,Away,W 2–1,Chelsea,Arsenal,N,LW,20,0,0,0,0,1,0,0,0,27,5,0,0,0,0.0,0.0,0.0,1,0,18,20,90.0,50,25,73,1,4
Wed,Matchweek 21,Away,D 1–1,Chelsea,Brighton,N,LW,24,0,0,0,0,3,0,0,0,19,3,0,0,0,0.2,0.2,0.0,1,0,10,12,83.3,40,16,79,1,4
Sat,Matchweek 22,Home,W 3–0,Chelsea,Burnley,Y,RW,90,1,0,0,0,1,1,0,0,66,11,0,0,2,0.6,0.6,0.4,6,1,37,53,69.8,129,51,191,3,3
Sat,Matchweek 23,Away,L 0–1,Chelsea,Newcastle Utd,Y,RW LW,90,0,0,0,0,1,0,0,0,58,9,0,0,2,0.0,0.0,0.2,3,0,37,48,77.1,119,44,223,1,3
Tue,Matchweek 24,Home,D 2–2,Chelsea,Arsenal,Y,RW,90,0,1,0,0,1,1,0,0,71,17,4,0,0,0.1,0.1,0.7,8,1,46,59,78.0,270,61,360,3,6
Sat,Matchweek 25,Away,D 2–2,Chelsea,Leicester City,Y,RW,90,0,0,0,0,1,0,0,0,55,19,0,0,1,0.1,0.1,0.0,1,0,33,36,91.7,121,37,121,3,3
