Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sun,Matchweek 1,Away,L 0–4,Chelsea,Manchester Utd,N,LW,32,0,0,0,0,1,0,0,0,21,12,0,0,0,0.0,0.0,0.0,1,0,13,15,86.7,37,20,107,2,5
Sun,Matchweek 2,Home,D 1–1,Chelsea,Leicester City,Y,LW,71,0,0,0,0,0,0,0,0,40,20,1,0,2,0.0,0.0,0.0,0,0,19,24,79.2,25,31,148,2,8
Sat,Matchweek 3,Away,W 3–2,Chelsea,Norwich City,Y,RW,84,0,1,0,0,2,0,0,0,58,26,3,1,2,0.2,0.2,0.6,8,2,31,37,83.8,128,51,172,2,2
Sat,Matchweek 4,Home,D 2–2,Chelsea,Sheffield Utd,Y,RW,90,0,0,0,0,1,1,0,0,49,28,3,1,1,0.5,0.5,0.0,5,1,29,36,80.6,43,41,152,1,2
Sun,Matchweek 8,Away,W 4–1,Chelsea,Southampton,N,LW,10,0,1,0,0,0,0,0,0,6,3,0,0,0,0.0,0.0,0.3,1,1,4,6,66.7,47,6,4,0,0
Sat,Matchweek 9,Home,W 1–0,Chelsea,Newcastle Utd,N,CM,26,0,0,0,0,1,1,0,0,21,0,0,0,0,0.5,0.5,0.5,2,1,16,18,88.9,54,16,88,0,0
Sat,Matchweek 10,Away,W 4–2,Chelsea,Burnley,Y,LW RW,90,3,0,0,0,5,4,0,0,46,27,1,1,1,0.5,0.5,0.1,4,0,26,35,74.3,63,34,255,1,1
Sat,Matchweek 11,Away,W 2–1,Chelsea,Watford,Y,LW,83,1,0,0,0,3,3,0,0,59,15,2,0,0,0.8,0.8,0.0,2,0,42,51,82.4,90,45,263,4,4
Sat,Matchweek 12,Home,W 2–0,Chelsea,Crystal Palace,Y,LW,80,1,0,0,0,6,3,0,0,43,14,0,0,1,0.9,0.9,0.2,7,0,21,34,61.8,35,38,138,6,6
Sat,Matchweek 13,Away,L 1–2,Chelsea,Manchester City,Y,LW,90,0,0,0,0,0,0,0,0,47,26,2,0,2,0.0,0.0,0.1,3,0,28,38,73.7,70,40,229,1,2
Sat,Matchweek 14,Home,L 0–1,Chelsea,West Ham,Y,LW FW,90,0,0,0,0,5,0,0,0,59,7,1,0,1,0.4,0.4,0.1,5,0,32,43,74.4,83,54,274,5,9
Wed,Matchweek 15,Home,W 2–1,Chelsea,Aston Villa,Y,LW,86,0,0,0,0,5,1,0,0,49,27,0,0,0,0.7,0.7,0.2,4,0,31,34,91.2,82,52,189,6,8
Sat,Matchweek 16,Away,L 1–3,Chelsea,Everton,Y,LW WB,90,0,0,0,0,2,1,0,0,52,14,3,0,0,0.1,0.1,0.1,2,0,17,27,63.0,98,49,194,4,9
Sat,Matchweek 17,Home,L 0–1,Chelsea,Bournemouth,Y,LW,65,0,0,0,0,2,0,0,0,28,18,3,0,0,0.3,0.3,0.0,2,0,15,19,78.9,16,18,141,0,1
Thu,Matchweek 19,Home,L 0–2,Chelsea,Southampton,N,LW,23,0,0,0,0,1,1,0,0,17,4,1,0,0,0.1,0.1,0.0,1,0,9,12,75.0,41,15,127,0,2
Wed,Matchweek 21,Away,D 1–1,Chelsea,Brighton,Y,LW,66,0,0,0,0,5,2,0,0,43,23,2,1,2,0.2,0.2,0.0,1,0,18,22,81.8,80,29,186,1,2
