Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 4,Home,D 2–2,Chelsea,Sheffield Utd,N,FW CM,7,0,0,0,0,0,0,0,0,6,1,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,13,0,0
Sat,Matchweek 5,Away,W 5–2,Chelsea,Wolves,N,FW,13,0,1,0,0,4,1,0,0,15,7,0,0,0,0.7,0.7,0.1,2,1,10,10,100.0,11,11,66,1,2
Sun,Matchweek 6,Home,L 1–2,Chelsea,Liverpool,N,FW,13,0,0,0,0,2,0,0,0,6,3,0,0,0,0.2,0.2,0.0,0,0,2,3,66.7,8,3,4,0,0
Sat,Matchweek 7,Home,W 2–0,Chelsea,Brighton,N,FW,6,0,0,0,0,1,0,0,0,4,2,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,4,10,0,0
Sun,Matchweek 8,Away,W 4–1,Chelsea,Southampton,N,FW,6,1,0,0,0,1,1,0,0,4,2,0,0,0,0.3,0.3,0.0,1,1,1,3,33.3,7,2,0,0,0
Sat,Matchweek 11,Away,W 2–1,Chelsea,Watford,N,FW,2,0,0,0,0,1,0,0,0,4,2,0,0,0,0.2,0.2,0.0,0,0,1,1,100.0,0,4,26,0,0
Sat,Matchweek 12,Home,W 2–0,Chelsea,Crystal Palace,N,FW,17,0,0,0,0,2,0,0,0,10,5,0,0,0,0.3,0.3,0.0,1,1,4,4,100.0,4,6,1,0,1
Sat,Matchweek 13,Away,L 1–2,Chelsea,Manchester City,N,FW,17,0,0,0,0,0,0,0,0,5,6,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0
Wed,Matchweek 15,Home,W 2–1,Chelsea,Aston Villa,N,FW,7,0,0,0,0,0,0,0,0,4,7,0,0,0,0.0,0.0,0.1,1,0,2,2,100.0,7,2,60,0,0
Sat,Matchweek 16,Away,L 1–3,Chelsea,Everton,N,FW RB,8,0,0,0,0,0,0,0,0,5,2,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,4,5,4,0,0
Sat,Matchweek 17,Home,L 0–1,Chelsea,Bournemouth,N,FW,12,0,0,0,0,0,0,0,0,5,2,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,7,3,2,0,0
Sun,Matchweek 18,Away,W 2–0,Chelsea,Tottenham,N,FW,10,0,0,0,0,1,0,0,0,9,9,1,0,1,0.1,0.1,0.0,0,0,6,6,100.0,15,7,30,0,1
Sat,Matchweek 23,Away,L 0–1,Chelsea,Newcastle Utd,N,FW,10,0,0,0,0,0,0,0,0,4,1,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,8,4,3,0,0
Tue,Matchweek 24,Home,D 2–2,Chelsea,Arsenal,N,LW,11,0,0,0,0,1,0,0,0,7,3,1,0,0,0.3,0.3,0.0,0,0,2,4,50.0,1,6,26,1,1
Mon,Matchweek 26,Home,L 0–2,Chelsea,Manchester Utd,Y,FW,68,0,0,0,0,2,0,0,0,26,20,0,0,1,0.3,0.3,0.0,1,0,14,15,93.3,13,16,52,2,3
Sat,Matchweek 28,Away,D 2–2,Chelsea,Bournemouth,N,FW,18,0,0,0,0,0,0,0,0,6,0,0,0,1,0.0,0.0,0.0,0,0,4,5,80.0,0,4,3,0,0
