Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 1,Home,D 0–0,Crystal Palace,Everton,Y,FW,83.0,0,0,0,0,1,0,0,0,23,7,2,1,3,0.0,0.0,0.4,2,0,7,12,58.3,43,9,95,0,0
Sun,Matchweek 2,Away,L 0–1,Crystal Palace,Sheffield Utd,Y,FW,90.0,0,0,0,0,1,1,0,0,33,10,2,0,2,0.1,0.1,0.0,1,0,15,19,78.9,50,13,34,0,0
Sat,Matchweek 3,Away,W 2–1,Crystal Palace,Manchester Utd,N,FW,15.0,0,0,0,0,0,0,0,0,11,7,1,0,1,0.0,0.0,0.0,0,0,4,6,66.7,8,4,4,0,0
Sat,Matchweek 4,Home,W 1–0,Crystal Palace,Aston Villa,N,FW,4.0,0,0,0,0,1,0,0,0,4,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,2,30,0,0
Sat,Matchweek 5,Away,L 0–4,Crystal Palace,Tottenham,N,FW,19.0,0,0,0,0,2,1,0,0,11,3,0,0,0,0.2,0.2,0.1,2,0,5,7,71.4,31,7,41,0,0
Sun,Matchweek 6,Home,D 1–1,Crystal Palace,Wolves,N,FW,21.0,0,0,0,0,1,1,0,0,15,3,0,0,0,0.1,0.1,0.4,2,0,8,9,88.9,44,10,28,1,1
Sat,Matchweek 8,Away,W 2–1,Crystal Palace,West Ham,N,FW,,0,0,0,0,0,0,1,0,5,1,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,4,17,1,1
Sat,Matchweek 9,Home,L 0–2,Crystal Palace,Manchester City,N,FW,14.0,0,0,0,0,1,1,0,0,6,3,0,0,0,0.0,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0
Sun,Matchweek 10,Away,D 2–2,Crystal Palace,Arsenal,N,FW,9.0,0,0,0,0,0,0,0,0,9,1,0,0,1,0.0,0.0,0.1,1,0,2,3,66.7,18,3,0,0,1
Sun,Matchweek 11,Home,L 0–2,Crystal Palace,Leicester City,N,FW,12.0,0,0,0,0,1,1,0,0,8,2,1,0,0,0.0,0.0,0.0,1,0,3,6,50.0,12,3,14,1,1
Sat,Matchweek 13,Home,L 1–2,Crystal Palace,Liverpool,N,FW,14.0,0,0,0,0,1,0,0,0,9,6,0,0,0,0.1,0.1,0.0,1,1,4,7,57.1,0,5,16,1,1
Sat,Matchweek 14,Away,W 2–0,Crystal Palace,Burnley,N,FW,8.0,0,0,0,0,0,0,0,0,4,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0
Sat,Matchweek 16,Away,D 0–0,Crystal Palace,Watford,N,FW CM,17.0,0,0,0,0,0,0,0,0,5,3,0,0,0,0.0,0.0,0.0,0,0,1,5,20.0,27,2,22,0,0
Mon,Matchweek 17,Home,D 1–1,Crystal Palace,Brighton,Y,FW,90.0,0,0,0,0,4,3,1,0,37,12,0,0,1,0.3,0.3,0.1,1,0,8,20,40.0,37,18,46,0,0
Sat,Matchweek 18,Away,L 0–1,Crystal Palace,Newcastle Utd,Y,FW,90.0,0,0,0,0,3,1,0,0,44,15,1,2,1,0.4,0.4,0.1,3,0,15,32,46.9,62,21,89,2,3
Sat,Matchweek 25,Home,L 0–1,Crystal Palace,Sheffield Utd,Y,FW,77.0,0,0,0,0,2,1,0,0,26,17,0,0,0,0.2,0.2,0.1,2,0,13,22,59.1,20,14,56,1,1
Sat,Matchweek 26,Away,L 1–3,Crystal Palace,Everton,Y,FW,90.0,1,0,0,0,3,2,0,0,35,19,0,1,1,0.7,0.7,0.1,3,1,11,23,47.8,21,15,98,0,3
Sat,Matchweek 27,Home,W 1–0,Crystal Palace,Newcastle Utd,Y,FW,89.0,0,0,0,0,3,1,0,0,42,9,0,0,1,0.4,0.4,0.0,3,1,15,25,60.0,74,23,109,2,5
Sat,Matchweek 28,Away,W 1–0,Crystal Palace,Brighton,Y,FW,87.0,0,1,0,0,4,1,1,0,31,9,0,0,0,0.7,0.7,0.5,5,2,15,19,78.9,74,18,97,2,2
Sat,Matchweek 29,Home,W 1–0,Crystal Palace,Watford,Y,FW,90.0,0,0,0,0,2,0,1,0,40,7,0,0,1,0.1,0.1,0.3,5,1,16,18,88.9,43,28,58,2,3
