Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sun,Matchweek 1,Home,D 0–0,Leicester City,Wolves,Y,FW,90,0,0,0,0,0,0,0,0,19,11,1,0,2,0.0,0.0,0.0,0,0,7,12,58.3,30,11,38,0,1
Sun,Matchweek 2,Away,D 1–1,Leicester City,Chelsea,Y,FW,90,0,0,0,0,1,0,0,0,13,25,0,0,0,0.1,0.1,0.0,0,0,5,10,50.0,16,6,9,0,0
Sat,Matchweek 3,Away,W 2–1,Leicester City,Sheffield Utd,Y,FW,90,1,0,0,0,3,2,0,0,18,16,0,0,1,0.4,0.4,0.0,2,0,7,11,63.6,22,7,39,0,2
Sat,Matchweek 4,Home,W 3–1,Leicester City,Bournemouth,Y,FW,90,2,1,0,0,3,3,0,0,29,10,0,0,2,0.5,0.5,0.7,1,1,10,18,55.6,32,12,54,0,1
Sat,Matchweek 5,Away,L 0–1,Leicester City,Manchester Utd,Y,FW,90,0,0,0,0,0,0,0,0,21,11,1,0,0,0.0,0.0,0.0,1,0,12,17,70.6,2,16,28,0,0
Sat,Matchweek 6,Home,W 2–1,Leicester City,Tottenham,Y,FW,90,0,0,0,0,3,1,0,0,22,19,0,0,0,0.3,0.3,0.0,2,0,8,14,57.1,8,17,142,1,2
Sun,Matchweek 7,Home,W 5–0,Leicester City,Newcastle Utd,Y,FW,90,2,0,0,0,4,2,1,0,20,25,0,1,1,0.3,0.3,0.1,1,0,10,13,76.9,14,4,6,0,0
Sat,Matchweek 8,Away,L 1–2,Leicester City,Liverpool,Y,FW,90,0,0,0,0,0,0,0,0,19,20,1,0,2,0.0,0.0,0.0,0,0,9,13,69.2,27,11,59,0,3
Sat,Matchweek 9,Home,W 2–1,Leicester City,Burnley,Y,FW,90,1,0,0,0,2,1,0,0,16,16,1,0,0,0.3,0.3,0.0,1,0,11,11,100.0,0,7,24,0,0
Fri,Matchweek 10,Away,W 9–0,Leicester City,Southampton,Y,FW,90,3,0,1,1,4,3,0,0,21,7,1,0,1,1.9,1.1,0.0,3,3,9,13,69.2,19,12,101,3,3
Sun,Matchweek 11,Away,W 2–0,Leicester City,Crystal Palace,Y,FW,90,1,0,0,0,2,2,0,0,20,16,0,0,0,0.2,0.2,0.0,1,1,6,13,46.2,27,11,41,0,1
Sat,Matchweek 12,Home,W 2–0,Leicester City,Arsenal,Y,FW,90,1,1,0,0,3,2,0,0,19,22,0,0,1,0.7,0.7,0.1,2,1,8,10,80.0,16,10,34,0,1
Sat,Matchweek 13,Away,W 2–0,Leicester City,Brighton,Y,FW,90,1,1,1,1,5,3,0,0,25,21,0,0,0,1.6,0.9,0.6,6,1,11,14,78.6,48,18,174,4,4
Sun,Matchweek 14,Home,W 2–1,Leicester City,Everton,Y,FW,90,1,0,0,0,4,1,0,0,22,13,0,0,1,1.1,1.1,0.3,1,0,11,13,84.6,35,7,67,0,1
Wed,Matchweek 15,Home,W 2–0,Leicester City,Watford,Y,FW,90,1,0,1,1,1,0,1,0,26,14,1,0,0,1.1,0.3,0.0,2,0,9,14,64.3,14,16,12,0,1
Sun,Matchweek 16,Away,W 4–1,Leicester City,Aston Villa,Y,FW,90,2,0,0,0,5,3,0,0,19,12,1,0,1,1.6,1.6,0.2,5,2,5,10,50.0,4,15,101,2,2
Sat,Matchweek 17,Home,D 1–1,Leicester City,Norwich City,Y,FW,90,0,0,0,0,5,2,0,0,22,23,1,0,1,0.6,0.6,0.0,2,1,8,11,72.7,14,15,65,1,3
Sat,Matchweek 18,Away,L 1–3,Leicester City,Manchester City,Y,FW,90,1,0,0,0,2,1,0,0,20,19,1,0,1,0.2,0.2,0.6,2,0,7,12,58.3,38,14,118,3,4
Thu,Matchweek 19,Home,L 0–4,Leicester City,Liverpool,Y,FW,90,0,0,0,0,1,0,0,0,22,15,0,0,1,0.1,0.1,0.0,1,0,13,14,92.9,16,8,60,1,1
Sat,Matchweek 22,Home,L 1–2,Leicester City,Southampton,Y,FW,90,0,1,0,0,0,0,0,0,16,6,0,0,0,0.0,0.0,0.3,2,1,8,16,50.0,29,6,67,0,0
Sun,Matchweek 23,Away,L 1–2,Leicester City,Burnley,Y,FW,90,0,0,0,1,2,1,0,0,23,13,1,1,2,1.2,0.5,0.0,3,0,10,12,83.3,48,8,10,0,1
Wed,Matchweek 24,Home,W 4–1,Leicester City,West Ham,Y,FW,43,0,0,0,0,1,1,0,0,15,4,1,0,0,0.1,0.1,0.0,1,0,8,12,66.7,31,11,54,1,1
Sat,Matchweek 25,Home,D 2–2,Leicester City,Chelsea,Y,FW,80,0,0,0,0,1,1,0,0,19,22,0,0,0,0.4,0.4,0.3,1,0,10,13,76.9,33,12,32,0,0
Fri,Matchweek 26,Away,D 0–0,Leicester City,Wolves,Y,FW,90,0,0,0,0,0,0,0,0,21,11,0,0,1,0.0,0.0,0.0,0,0,10,15,66.7,0,11,14,0,0
Sat,Matchweek 27,Home,L 0–1,Leicester City,Manchester City,Y,FW,90,0,0,0,0,4,0,0,0,17,23,0,0,0,0.6,0.6,0.0,0,0,5,11,45.5,0,13,98,2,3
Mon,Matchweek 29,Home,W 4–0,Leicester City,Aston Villa,N,FW,31,2,0,1,1,1,1,0,0,7,6,0,0,0,0.8,0.1,0.0,0,0,2,5,40.0,13,4,31,0,0
