Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sun,Matchweek 14,Home,W 2–1,Leicester City,Everton,N,FW CM,28,1,1,0,0,2,2,0,0,17,4,0,0,0,0.5,0.5,0.5,2,1,10,12,83.3,42,12,38,0,1
Sun,Matchweek 16,Away,W 4–1,Leicester City,Aston Villa,Y,FW,64,1,1,0,0,4,1,1,0,34,22,4,0,0,0.4,0.4,1.0,5,0,22,23,95.7,125,28,118,2,2
Sat,Matchweek 17,Home,D 1–1,Leicester City,Norwich City,Y,FW,39,0,0,0,0,1,1,0,0,23,15,0,0,0,0.1,0.1,0.0,1,0,9,11,81.8,10,22,81,1,4
Sat,Matchweek 20,Away,W 2–1,Leicester City,West Ham,Y,FW,90,1,0,0,0,2,1,0,0,26,8,0,0,0,0.4,0.4,0.1,3,0,9,11,81.8,46,16,60,0,1
Wed,Matchweek 21,Away,W 3–0,Leicester City,Newcastle Utd,Y,FW,63,0,0,0,0,1,1,0,0,21,4,0,0,0,0.2,0.2,0.1,3,1,12,17,70.6,17,14,6,1,1
Sat,Matchweek 22,Home,L 1–2,Leicester City,Southampton,N,CM,32,0,0,0,0,1,1,0,0,7,2,0,0,0,0.3,0.3,0.0,0,0,2,4,50.0,5,5,28,0,0
Sun,Matchweek 23,Away,L 1–2,Leicester City,Burnley,N,FW,16,0,0,0,0,1,0,0,0,12,3,0,0,0,0.0,0.0,0.3,2,0,8,10,80.0,27,10,32,0,0
Wed,Matchweek 24,Home,W 4–1,Leicester City,West Ham,N,FW,47,0,1,0,0,2,0,0,0,17,9,0,0,0,0.2,0.2,0.1,4,3,8,10,80.0,24,13,52,2,2
Sat,Matchweek 25,Home,D 2–2,Leicester City,Chelsea,N,FW,10,0,0,0,0,0,0,0,0,6,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,39,4,16,0,0
Sat,Matchweek 27,Home,L 0–1,Leicester City,Manchester City,Y,FW,45,0,0,0,0,1,1,0,0,19,13,0,0,2,0.2,0.2,0.0,2,0,8,11,72.7,38,17,57,2,3
Fri,Matchweek 28,Away,L 0–1,Leicester City,Norwich City,Y,FW,90,0,0,0,0,2,0,0,0,25,17,0,1,0,0.2,0.2,0.1,3,0,14,18,77.8,26,22,40,0,0
Mon,Matchweek 29,Home,W 4–0,Leicester City,Aston Villa,Y,FW,59,0,0,0,0,2,1,0,0,26,12,1,0,0,0.4,0.4,0.0,0,0,14,15,93.3,14,21,43,1,2
