Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 1,Away,W 5–0,Manchester City,West Ham,Y,FW,69,1,0,0,0,2,2,0,0,18,24,1,0,0,0.6,0.6,0.0,1,0,10,11,90.9,12,11,20,2,2
Sat,Matchweek 2,Home,D 2–2,Manchester City,Tottenham,N,FW,24,0,0,0,0,5,0,0,0,13,9,0,0,1,0.5,0.5,0.0,2,0,6,6,100.0,33,12,22,3,3
Sat,Matchweek 5,Away,L 2–3,Manchester City,Norwich City,N,FW,33,0,1,0,0,4,1,0,0,19,8,0,1,2,0.3,0.3,0.0,5,2,9,9,100.0,18,15,19,3,4
Sat,Matchweek 7,Away,W 3–1,Manchester City,Everton,Y,FW,66,1,0,0,0,4,1,0,0,29,10,0,1,1,0.7,0.7,0.0,0,0,20,21,95.2,31,24,35,2,4
Sun,Matchweek 8,Home,L 0–2,Manchester City,Wolves,N,AM FW,15,0,0,0,0,1,0,0,0,13,3,0,0,2,0.0,0.0,0.0,1,0,7,7,100.0,18,8,18,0,0
Sat,Matchweek 9,Away,W 2–0,Manchester City,Crystal Palace,Y,FW,90,1,0,0,0,8,3,0,0,39,22,1,1,0,1.2,1.2,0.0,5,0,17,21,81.0,42,31,105,7,8
Sat,Matchweek 10,Home,W 3–0,Manchester City,Aston Villa,Y,FW LW,90,0,0,0,0,4,2,0,0,32,20,0,1,1,0.8,0.8,0.3,4,1,21,22,95.5,43,19,56,0,0
Sat,Matchweek 11,Home,W 2–1,Manchester City,Southampton,N,CM,45,0,0,0,0,1,1,0,0,21,11,1,0,1,0.4,0.4,0.1,1,0,13,13,100.0,35,12,21,0,1
Sun,Matchweek 12,Away,L 1–3,Manchester City,Liverpool,N,FW,19,0,0,0,0,0,0,1,0,5,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,4,0,0
Sat,Matchweek 13,Home,W 2–1,Manchester City,Chelsea,N,FW,13,0,0,0,0,0,0,0,0,5,7,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,2,0,0
Sat,Matchweek 14,Away,D 2–2,Manchester City,Newcastle Utd,Y,FW,84,0,0,0,0,5,2,0,0,29,14,1,1,0,0.9,0.9,0.0,3,0,13,17,76.5,8,13,29,0,0
Tue,Matchweek 15,Away,W 4–1,Manchester City,Burnley,Y,FW,90,2,0,0,0,3,2,0,0,27,20,1,0,1,0.5,0.5,0.0,1,0,16,19,84.2,32,22,75,2,2
Sat,Matchweek 16,Home,L 1–2,Manchester City,Manchester Utd,Y,FW,90,0,0,0,0,3,0,0,0,33,28,3,2,2,0.6,0.6,0.0,0,0,14,16,87.5,7,20,75,2,5
Sun,Matchweek 17,Away,W 3–0,Manchester City,Arsenal,Y,FW,90,0,1,0,0,2,1,0,0,35,31,1,0,0,0.4,0.4,0.1,6,2,22,25,88.0,34,21,58,0,0
Sat,Matchweek 18,Home,W 3–1,Manchester City,Leicester City,Y,FW,90,1,0,0,0,4,4,0,0,27,33,3,0,1,1.3,1.3,0.0,0,0,15,18,83.3,16,19,73,0,1
Sun,Matchweek 20,Home,W 2–0,Manchester City,Sheffield Utd,N,FW,2,0,0,0,0,0,0,0,0,5,2,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,3,13,1,1
Wed,Matchweek 21,Home,W 2–1,Manchester City,Everton,Y,FW,90,2,0,0,0,7,4,0,0,43,27,1,0,2,1.2,1.2,0.2,5,1,21,27,77.8,15,27,41,3,3
Sun,Matchweek 22,Away,W 6–1,Manchester City,Aston Villa,Y,LW,90,1,1,0,0,5,2,0,0,75,6,1,0,2,0.9,0.9,0.0,1,0,54,61,88.5,42,46,79,2,2
Sat,Matchweek 23,Home,D 2–2,Manchester City,Crystal Palace,N,FW,28,0,1,0,0,1,0,0,0,18,4,0,0,0,0.1,0.1,0.4,2,1,10,12,83.3,27,12,13,1,3
Tue,Matchweek 24,Away,W 1–0,Manchester City,Sheffield Utd,Y,FW,67,0,0,0,1,1,1,0,0,23,14,0,1,0,0.9,0.2,0.1,1,0,12,16,75.0,4,11,31,0,1
Sun,Matchweek 25,Away,L 0–2,Manchester City,Tottenham,N,FW,18,0,0,0,0,1,1,0,0,14,9,2,0,0,0.1,0.1,0.0,0,0,9,9,100.0,23,11,20,0,2
Wed,Matchweek 26,Home,W 2–0,Manchester City,West Ham,Y,LW,90,0,0,0,0,4,2,0,0,53,13,3,1,2,0.9,0.9,0.1,4,0,35,39,89.7,91,51,171,6,6
Sat,Matchweek 27,Away,W 1–0,Manchester City,Leicester City,N,FW,13,1,0,0,0,2,2,0,0,13,1,1,1,0,0.5,0.5,0.0,0,0,8,10,80.0,0,14,51,1,1
Sun,Matchweek 29,Away,L 0–2,Manchester City,Manchester Utd,N,FW,31,0,0,0,0,1,1,1,0,16,2,1,0,1,0.1,0.1,0.0,0,0,9,11,81.8,28,11,34,0,1
