Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 1,Away,W 5–0,Manchester City,West Ham,N,FW,21.0,1,0,1,1,0,0,0,0,5,5,0,0,0,0.8,0.0,0.0,0,0,3,3,100.0,24,5,69,0,1
Sat,Matchweek 2,Home,D 2–2,Manchester City,Tottenham,Y,FW,66.0,1,0,0,0,3,1,0,0,20,19,0,0,4,0.6,0.6,0.1,1,0,6,8,75.0,5,11,32,0,1
Sun,Matchweek 3,Away,W 3–1,Manchester City,Bournemouth,Y,FW,90.0,2,0,0,0,4,2,0,0,31,18,1,0,2,0.7,0.7,0.2,4,1,18,22,81.8,21,22,53,1,1
Sat,Matchweek 4,Home,W 4–0,Manchester City,Brighton,Y,FW,90.0,2,1,0,0,5,2,0,0,31,34,0,1,0,0.4,0.4,0.3,3,1,18,21,85.7,61,28,73,1,2
Sat,Matchweek 5,Away,L 2–3,Manchester City,Norwich City,Y,FW,90.0,1,0,0,0,6,2,0,0,34,6,0,0,1,1.1,1.1,0.1,4,0,16,23,69.6,56,21,60,4,6
Sat,Matchweek 6,Home,W 8–0,Manchester City,Watford,Y,FW,90.0,1,1,1,1,6,1,0,0,55,14,2,1,2,2.1,1.4,1.3,4,2,32,39,82.1,50,45,82,2,2
Sat,Matchweek 7,Away,W 3–1,Manchester City,Everton,N,FW,24.0,0,0,0,0,2,1,0,0,14,4,0,0,1,0.1,0.1,0.0,3,1,8,8,100.0,38,12,64,2,2
Sun,Matchweek 8,Home,L 0–2,Manchester City,Wolves,Y,FW,90.0,0,0,0,0,3,0,0,0,25,10,0,0,1,0.2,0.2,0.0,2,0,9,12,75.0,15,16,56,2,3
Sat,Matchweek 10,Home,W 3–0,Manchester City,Aston Villa,N,FW,14.0,0,0,0,0,0,0,0,0,9,2,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,30,6,38,0,0
Sat,Matchweek 11,Home,W 2–1,Manchester City,Southampton,Y,FW,90.0,1,0,0,0,7,1,0,0,27,12,1,0,0,1.0,1.0,0.0,1,0,7,12,58.3,13,16,47,1,1
Sun,Matchweek 12,Away,L 1–3,Manchester City,Liverpool,Y,FW,71.0,0,0,0,0,3,2,0,0,22,13,0,0,0,0.2,0.2,0.0,1,0,12,16,75.0,27,18,93,1,1
Sat,Matchweek 13,Home,W 2–1,Manchester City,Chelsea,Y,FW,77.0,0,0,0,0,2,0,0,0,22,19,0,0,0,0.5,0.5,0.2,2,0,10,15,66.7,49,18,58,0,1
Sat,Matchweek 18,Home,W 3–1,Manchester City,Leicester City,N,CM,,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,21,0,1
Fri,Matchweek 19,Away,L 2–3,Manchester City,Wolves,Y,FW,14.0,0,0,0,0,0,0,0,0,2,5,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0
Sun,Matchweek 20,Home,W 2–0,Manchester City,Sheffield Utd,Y,FW,81.0,1,0,0,0,2,1,0,0,23,13,1,0,4,0.3,0.3,0.0,2,0,7,11,63.6,22,10,76,0,0
Sun,Matchweek 22,Away,W 6–1,Manchester City,Aston Villa,Y,FW,90.0,3,1,0,0,7,5,0,0,49,9,1,0,0,0.9,0.9,0.1,2,1,27,33,81.8,86,38,136,1,2
Sat,Matchweek 23,Home,D 2–2,Manchester City,Crystal Palace,Y,FW,90.0,2,0,0,0,6,3,0,0,35,4,0,0,0,0.8,0.8,0.0,4,0,13,17,76.5,32,25,97,1,3
Tue,Matchweek 24,Away,W 1–0,Manchester City,Sheffield Utd,N,FW,23.0,1,0,0,0,1,1,1,0,11,2,0,0,0,0.8,0.8,0.1,3,0,7,9,77.8,15,6,25,1,1
Sun,Matchweek 25,Away,L 0–2,Manchester City,Tottenham,Y,FW,64.0,0,0,0,0,6,1,0,0,38,8,1,0,0,1.0,1.0,0.0,4,0,18,21,85.7,46,28,116,1,5
Wed,Matchweek 26,Home,W 2–0,Manchester City,West Ham,Y,FW,90.0,0,0,0,0,5,0,0,0,49,5,0,1,0,0.5,0.5,0.1,3,0,28,38,73.7,86,52,102,6,7
Sat,Matchweek 27,Away,W 1–0,Manchester City,Leicester City,Y,FW,77.0,0,0,0,1,1,1,0,0,21,7,0,0,0,1.1,0.4,0.2,4,0,12,15,80.0,33,15,14,1,3
Sun,Matchweek 29,Away,L 0–2,Manchester City,Manchester Utd,Y,FW,59.0,0,0,0,0,0,0,0,0,23,11,0,0,0,0.0,0.0,0.0,1,0,14,19,73.7,13,14,44,2,2
