Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sun,Matchweek 1,Home,W 4–0,Manchester Utd,Chelsea,N,RW,16,1,0,0,0,1,1,0,0,10,7,0,0,0,0.2,0.2,0.0,0,0,6,8,75.0,0,8,25,0,0
Mon,Matchweek 2,Away,D 1–1,Manchester Utd,Wolves,Y,RW,89,0,0,0,0,1,0,1,0,52,34,2,1,0,0.1,0.1,0.0,1,0,25,35,71.4,65,39,177,1,3
Sat,Matchweek 3,Home,L 1–2,Manchester Utd,Crystal Palace,Y,RW CM,90,1,0,0,0,4,1,1,0,48,15,0,1,2,0.6,0.6,0.0,1,0,24,35,68.6,89,41,159,1,4
Sat,Matchweek 4,Away,D 1–1,Manchester Utd,Southampton,Y,LW CM,90,1,0,0,0,5,4,0,0,55,20,1,0,3,0.3,0.3,0.5,5,0,24,36,66.7,125,46,239,2,5
Sat,Matchweek 5,Home,W 1–0,Manchester Utd,Leicester City,Y,LW RW,90,0,0,0,0,2,0,1,0,31,23,0,0,0,0.1,0.1,0.0,2,0,15,23,65.2,66,26,169,1,3
Sun,Matchweek 6,Away,L 0–2,Manchester Utd,West Ham,Y,LW,90,0,0,0,0,1,0,0,0,24,17,0,0,1,0.1,0.1,0.0,1,0,14,19,73.7,66,22,121,2,3
Mon,Matchweek 7,Home,D 1–1,Manchester Utd,Arsenal,Y,LW,90,0,0,0,0,1,0,0,0,40,26,4,0,0,0.0,0.0,0.0,1,1,20,27,74.1,76,34,300,3,5
Sun,Matchweek 8,Away,L 0–1,Manchester Utd,Newcastle Utd,Y,LW RW AM,90,0,0,0,0,1,0,0,0,35,17,1,0,1,0.0,0.0,0.0,1,0,14,26,53.8,27,30,109,1,3
Sun,Matchweek 9,Home,D 1–1,Manchester Utd,Liverpool,Y,FW,90,0,1,0,0,0,0,0,0,36,32,0,0,1,0.0,0.0,0.5,2,1,14,21,66.7,73,25,147,1,4
Sun,Matchweek 10,Away,W 3–1,Manchester Utd,Norwich City,Y,RW,80,0,1,0,0,0,0,0,0,34,14,1,0,3,0.0,0.0,0.4,4,1,21,26,80.8,128,31,145,0,1
Sat,Matchweek 11,Away,L 0–1,Manchester Utd,Bournemouth,Y,RW,80,0,0,0,0,1,0,0,0,56,14,1,2,2,0.0,0.0,0.2,2,0,34,43,79.1,165,49,184,0,1
Sun,Matchweek 12,Home,W 3–1,Manchester Utd,Brighton,Y,RW,90,0,0,0,0,1,1,0,0,42,19,1,0,1,0.3,0.3,0.5,5,0,26,33,78.8,157,32,223,2,3
Sun,Matchweek 13,Away,D 3–3,Manchester Utd,Sheffield Utd,Y,AM RW LW,90,0,1,0,0,1,1,0,0,47,22,1,0,2,0.0,0.0,0.4,1,1,28,41,68.3,67,45,243,2,3
Sun,Matchweek 14,Home,D 2–2,Manchester Utd,Aston Villa,Y,RW LW,90,0,0,0,0,1,0,0,0,50,29,0,0,1,0.0,0.0,0.1,2,0,28,40,70.0,85,43,296,0,4
Wed,Matchweek 15,Home,W 2–1,Manchester Utd,Tottenham,Y,RW LW AM,90,0,0,0,0,2,2,0,0,31,39,2,1,1,0.1,0.1,0.0,1,0,15,22,68.2,68,23,117,1,1
Sat,Matchweek 16,Away,W 2–1,Manchester Utd,Manchester City,Y,RW,90,0,1,0,0,1,1,0,0,34,45,2,1,3,0.1,0.1,0.2,7,1,19,23,82.6,128,29,243,1,4
Sun,Matchweek 17,Home,D 1–1,Manchester Utd,Everton,Y,RW CM,86,0,1,0,0,5,2,0,0,46,14,3,1,2,0.4,0.4,0.1,6,1,22,29,75.9,73,32,142,0,0
Sun,Matchweek 18,Away,L 0–2,Manchester Utd,Watford,Y,RW,58,0,0,0,0,0,0,0,0,19,13,1,0,1,0.0,0.0,0.1,2,0,7,12,58.3,21,11,43,1,1
Sat,Matchweek 20,Away,W 2–0,Manchester Utd,Burnley,Y,RW,90,0,1,0,0,2,0,0,0,45,18,2,0,1,0.1,0.1,0.9,5,1,25,31,80.6,128,37,253,1,1
Wed,Matchweek 21,Away,L 0–2,Manchester Utd,Arsenal,Y,RW,58,0,0,0,0,0,0,0,0,25,12,1,0,1,0.0,0.0,0.0,1,0,15,19,78.9,54,17,63,0,0
Sat,Matchweek 22,Home,W 4–0,Manchester Utd,Norwich City,N,LW,31,0,0,0,0,1,0,0,0,17,15,0,0,1,0.1,0.1,0.0,0,0,11,13,84.6,77,13,94,1,1
Sun,Matchweek 23,Away,L 0–2,Manchester Utd,Liverpool,Y,FW LW,90,0,0,0,0,0,0,0,0,31,23,1,0,0,0.0,0.0,0.0,1,0,18,26,69.2,46,24,152,0,0
Wed,Matchweek 24,Home,L 0–2,Manchester Utd,Burnley,Y,LW,69,0,0,0,0,2,1,0,0,40,10,0,0,2,0.3,0.3,0.0,1,0,24,34,70.6,39,31,224,0,0
Sat,Matchweek 25,Home,D 0–0,Manchester Utd,Wolves,Y,LW CM,88,0,0,0,0,0,0,0,0,44,12,0,0,1,0.0,0.0,0.0,1,0,29,39,74.4,47,31,201,0,0
Mon,Matchweek 26,Away,W 2–0,Manchester Utd,Chelsea,Y,FW,80,0,0,0,0,0,0,0,0,20,15,0,0,1,0.0,0.0,0.0,1,0,9,11,81.8,29,18,109,1,3
Sun,Matchweek 27,Home,W 3–0,Manchester Utd,Watford,Y,LW,90,0,0,0,0,4,1,0,0,62,18,0,0,2,0.1,0.1,0.1,4,1,37,48,77.1,103,49,318,3,4
Sun,Matchweek 29,Home,W 2–0,Manchester Utd,Manchester City,Y,FW,90,0,0,0,0,2,2,0,0,30,26,1,0,1,0.2,0.2,0.0,3,0,10,19,52.6,41,22,284,2,5
