Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 6,Home,D 0–0,Newcastle Utd,Brighton,N,WB,8,0,0,0,0,0,0,0,0,9,1,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,20,6,2,0,0
Sun,Matchweek 7,Away,L 0–5,Newcastle Utd,Leicester City,N,FW,27,0,0,0,0,0,0,0,0,15,3,1,0,0,0.0,0.0,0.0,0,0,7,8,87.5,18,4,7,0,0
Sun,Matchweek 8,Home,W 1–0,Newcastle Utd,Manchester Utd,N,FW,34,0,0,0,0,1,0,0,0,15,7,0,0,2,0.0,0.0,0.0,0,0,4,8,50.0,27,4,3,0,0
Sat,Matchweek 9,Away,L 0–1,Newcastle Utd,Chelsea,N,FW AM,20,0,0,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,4,1,0,0
Sat,Matchweek 11,Away,W 3–2,Newcastle Utd,West Ham,N,FW,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,7,2,1,0,0
Sat,Matchweek 12,Home,W 2–1,Newcastle Utd,Bournemouth,N,FW,7,0,0,0,0,0,0,0,0,10,2,1,0,0,0.0,0.0,0.0,0,0,2,5,40.0,9,5,4,0,0
Mon,Matchweek 13,Away,L 0–2,Newcastle Utd,Aston Villa,N,FW,27,0,0,0,0,1,1,0,0,17,4,1,0,0,0.1,0.1,0.1,2,0,7,12,58.3,24,9,4,1,1
Thu,Matchweek 15,Away,W 2–0,Newcastle Utd,Sheffield Utd,Y,FW,72,0,1,0,0,0,0,0,0,21,10,0,0,0,0.0,0.0,0.6,2,2,7,14,50.0,23,4,6,0,0
Sun,Matchweek 16,Home,W 2–1,Newcastle Utd,Southampton,N,FW,31,0,1,0,0,0,0,0,0,22,1,1,0,0,0.0,0.0,0.1,1,1,9,16,56.3,37,10,23,0,0
Sat,Matchweek 17,Away,L 0–1,Newcastle Utd,Burnley,Y*,FW,90,0,0,0,0,2,0,1,0,40,14,1,0,0,0.1,0.1,0.1,3,0,18,29,62.1,82,24,35,0,0
Sat,Matchweek 18,Home,W 1–0,Newcastle Utd,Crystal Palace,Y,FW,90,0,0,0,0,2,0,0,0,40,27,2,1,4,0.0,0.0,0.3,3,1,14,23,60.9,36,22,28,1,2
Sat,Matchweek 20,Home,L 1–2,Newcastle Utd,Everton,Y,FW RW,90,0,1,0,0,4,1,0,0,43,5,0,0,0,0.2,0.2,0.5,3,1,19,29,65.5,85,20,23,2,2
Sat,Matchweek 22,Away,D 1–1,Newcastle Utd,Wolves,N,FW,11,0,0,0,0,0,0,0,0,8,1,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,12,8,4,1,2
