Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sun,Matchweek 1,Home,L 0–1,Newcastle Utd,Arsenal,Y,FW,90,0,0,0,0,4,1,0,0,47,39,1,1,0,0.3,0.3,0.0,2,0,29,33,87.9,81,31,86,2,2
Sat,Matchweek 2,Away,L 1–3,Newcastle Utd,Norwich City,Y,FW,67,0,0,0,0,2,0,1,0,27,22,4,0,1,0.2,0.2,0.0,2,0,12,12,100.0,6,17,27,0,2
Sun,Matchweek 3,Away,W 1–0,Newcastle Utd,Tottenham,Y,FW,88,1,0,0,0,2,2,1,0,36,27,0,0,0,0.2,0.2,0.1,2,0,22,24,91.7,22,24,42,0,1
Sat,Matchweek 4,Home,D 1–1,Newcastle Utd,Watford,Y,FW,90,0,0,0,0,2,0,0,0,48,28,0,1,0,0.1,0.1,0.1,3,0,31,34,91.2,127,35,51,2,4
Sat,Matchweek 5,Away,L 1–3,Newcastle Utd,Liverpool,Y,FW,90,0,0,0,0,1,0,0,0,38,22,1,1,2,0.1,0.1,0.1,2,0,25,30,83.3,70,22,37,2,2
Sat,Matchweek 6,Home,D 0–0,Newcastle Utd,Brighton,Y,FW,90,0,0,0,0,3,0,0,0,24,22,1,1,0,0.2,0.2,0.2,4,0,11,13,84.6,35,18,56,1,1
Sun,Matchweek 7,Away,L 0–5,Newcastle Utd,Leicester City,Y,FW,63,0,0,0,0,0,0,0,0,36,11,0,1,0,0.0,0.0,0.0,1,0,16,21,76.2,38,24,34,1,1
Sun,Matchweek 8,Home,W 1–0,Newcastle Utd,Manchester Utd,Y,FW,56,0,0,0,0,0,0,0,0,27,18,1,0,0,0.0,0.0,0.0,3,0,14,21,66.7,1,12,8,1,1
Sat,Matchweek 9,Away,L 0–1,Newcastle Utd,Chelsea,Y,FW AM,83,0,0,0,0,1,0,0,0,30,25,0,0,0,0.2,0.2,0.0,1,0,15,17,88.2,27,18,36,0,0
Sun,Matchweek 10,Home,D 1–1,Newcastle Utd,Wolves,Y,FW,85,0,0,0,0,1,0,0,0,38,6,0,0,0,0.1,0.1,0.0,3,0,16,21,76.2,46,20,14,1,2
Sat,Matchweek 11,Away,W 3–2,Newcastle Utd,West Ham,Y,FW,89,0,1,0,0,1,0,0,0,38,18,1,0,0,0.0,0.0,0.2,2,1,22,27,81.5,72,28,49,1,2
Sat,Matchweek 12,Home,W 2–1,Newcastle Utd,Bournemouth,Y,FW,83,0,0,0,0,4,3,0,0,35,17,0,1,2,0.6,0.6,0.0,2,0,16,18,88.9,31,25,97,0,1
Mon,Matchweek 13,Away,L 0–2,Newcastle Utd,Aston Villa,Y,FW,72,0,0,0,0,3,0,0,0,27,24,1,1,0,0.2,0.2,0.1,2,0,14,16,87.5,29,17,133,2,2
Sat,Matchweek 14,Home,D 2–2,Newcastle Utd,Manchester City,Y,FW,69,0,0,0,0,0,0,0,0,31,27,0,0,0,0.0,0.0,0.0,1,0,11,19,57.9,10,14,43,3,3
Thu,Matchweek 15,Away,W 2–0,Newcastle Utd,Sheffield Utd,N,FW,18,0,0,0,0,0,0,0,0,10,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,5,9,68,2,2
Sun,Matchweek 16,Home,W 2–1,Newcastle Utd,Southampton,Y,FW,59,0,0,0,0,1,0,0,0,32,11,0,1,2,0.1,0.1,0.0,0,0,14,22,63.6,23,14,47,1,2
Sat,Matchweek 17,Away,L 0–1,Newcastle Utd,Burnley,Y,AM CM,90,0,0,0,0,2,0,1,0,42,14,0,0,1,0.1,0.1,0.4,2,0,30,33,90.9,69,34,99,1,1
Sat,Matchweek 18,Home,W 1–0,Newcastle Utd,Crystal Palace,Y,FW,77,0,0,0,0,1,0,0,0,33,15,0,1,1,0.1,0.1,0.0,1,0,21,23,91.3,30,22,64,0,1
Thu,Matchweek 19,Away,L 1–4,Newcastle Utd,Manchester Utd,Y,FW,90,0,1,0,0,1,1,0,0,48,33,2,0,2,0.0,0.0,0.6,3,1,25,33,75.8,80,27,74,2,4
Sat,Matchweek 20,Home,L 1–2,Newcastle Utd,Everton,Y,FW,74,0,0,0,0,2,2,1,0,27,8,0,0,1,0.2,0.2,0.4,3,0,15,18,83.3,50,26,126,6,7
Wed,Matchweek 21,Home,L 0–3,Newcastle Utd,Leicester City,Y,FW,90,0,0,0,0,3,1,0,0,37,17,2,0,1,0.5,0.5,0.0,1,0,12,21,57.1,44,17,125,2,2
Sat,Matchweek 22,Away,D 1–1,Newcastle Utd,Wolves,Y,FW RW,79,0,0,0,0,0,0,0,0,30,5,0,0,2,0.0,0.0,0.0,0,0,18,22,81.8,30,15,20,2,2
Sat,Matchweek 23,Home,W 1–0,Newcastle Utd,Chelsea,Y,FW,90,0,0,0,0,2,0,0,0,44,18,2,0,4,0.1,0.1,0.0,1,0,15,20,75.0,33,15,62,0,1
Tue,Matchweek 24,Away,D 2–2,Newcastle Utd,Everton,Y,FW,78,0,0,0,0,1,0,0,0,33,14,1,0,1,0.1,0.1,0.0,0,0,18,22,81.8,84,21,61,1,1
Sat,Matchweek 25,Home,D 0–0,Newcastle Utd,Norwich City,Y,FW,90,0,0,0,0,3,1,0,0,48,28,1,0,1,0.2,0.2,0.0,2,0,22,29,75.9,38,23,24,0,2
Sun,Matchweek 26,Away,L 0–4,Newcastle Utd,Arsenal,Y,FW,90,0,0,0,0,2,0,0,0,40,15,1,0,1,0.2,0.2,0.1,1,0,21,27,77.8,22,23,73,2,3
Sat,Matchweek 27,Away,L 0–1,Newcastle Utd,Crystal Palace,Y,FW,90,0,0,0,0,1,1,1,0,43,19,3,0,1,0.0,0.0,0.0,0,0,21,25,84.0,94,28,106,1,3
Sat,Matchweek 28,Home,D 0–0,Newcastle Utd,Burnley,Y,CM,78,0,0,0,0,0,0,0,0,39,16,2,1,2,0.0,0.0,0.0,2,0,21,28,75.0,112,24,110,2,5
Sat,Matchweek 29,Away,W 1–0,Newcastle Utd,Southampton,N,CM,29,0,0,0,0,1,0,1,0,19,8,1,0,1,0.0,0.0,0.0,1,0,10,13,76.9,26,17,83,2,3
