Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 4,Away,D 2–2,Sheffield Utd,Chelsea,N,RW FW CM,11,0,0,0,0,0,0,0,0,4,4,0,1,1,0.0,0.0,0.0,3,0,3,3,100.0,19,3,56,1,1
Sat,Matchweek 5,Home,L 0–1,Sheffield Utd,Southampton,N,FW CM,18,0,0,0,0,2,0,0,0,9,2,1,0,1,0.1,0.1,0.0,0,0,2,5,40.0,13,6,5,0,0
Sat,Matchweek 6,Away,W 2–0,Sheffield Utd,Everton,N,FW,28,1,0,0,0,1,1,0,0,12,5,1,0,0,0.2,0.2,0.0,0,0,1,4,25.0,0,10,39,1,4
Sat,Matchweek 7,Home,L 0–1,Sheffield Utd,Liverpool,N,FW,30,0,0,0,0,0,0,0,0,9,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,6,39,1,1
Sat,Matchweek 8,Away,D 0–0,Sheffield Utd,Watford,N,FW,28,0,0,0,0,1,0,0,0,14,5,1,0,0,0.0,0.0,0.0,1,0,7,8,87.5,9,17,32,3,4
Mon,Matchweek 9,Home,W 1–0,Sheffield Utd,Arsenal,Y,FW,56,1,0,0,0,1,1,0,0,22,21,0,0,2,0.6,0.6,0.0,0,0,5,9,55.6,6,13,10,1,2
Sat,Matchweek 10,Away,D 1–1,Sheffield Utd,West Ham,N,FW,27,1,0,0,0,1,1,0,0,10,8,0,0,0,0.1,0.1,0.0,0,0,3,5,60.0,17,8,43,1,1
Sat,Matchweek 11,Home,W 3–0,Sheffield Utd,Burnley,Y,FW,65,0,3,0,0,2,0,0,0,21,16,1,0,0,0.1,0.1,1.1,3,3,10,15,66.7,58,15,82,3,3
Sat,Matchweek 12,Away,D 1–1,Sheffield Utd,Tottenham,Y,FW,87,0,0,0,0,4,0,0,0,25,21,3,0,1,0.4,0.4,0.0,1,0,7,10,70.0,11,18,86,2,2
Sun,Matchweek 13,Home,D 3–3,Sheffield Utd,Manchester Utd,Y,FW,68,1,0,0,0,1,1,0,0,17,9,0,0,0,0.0,0.0,0.2,2,1,8,9,88.9,3,17,64,2,2
Sun,Matchweek 14,Away,D 1–1,Sheffield Utd,Wolves,Y,FW,86,1,0,0,0,2,1,0,0,36,26,1,0,1,0.3,0.3,0.2,2,0,21,22,95.5,27,29,89,1,2
Thu,Matchweek 15,Home,L 0–2,Sheffield Utd,Newcastle Utd,N,FW,27,0,0,0,0,1,0,0,0,12,7,0,0,1,0.1,0.1,0.0,0,0,5,6,83.3,10,9,14,1,1
Sun,Matchweek 16,Away,W 2–1,Sheffield Utd,Norwich City,Y,FW,65,0,0,0,0,2,0,0,0,22,17,0,0,0,0.0,0.0,0.0,1,0,9,13,69.2,19,20,29,4,6
Sat,Matchweek 17,Home,W 2–0,Sheffield Utd,Aston Villa,Y,FW,61,0,0,0,0,0,0,0,0,15,14,1,0,0,0.0,0.0,0.0,0,0,8,10,80.0,5,9,26,0,2
Sat,Matchweek 18,Away,W 1–0,Sheffield Utd,Brighton,N,FW,27,0,0,0,0,1,0,0,0,7,7,1,0,0,0.0,0.0,0.0,2,0,2,3,66.7,0,6,34,2,2
Thu,Matchweek 19,Home,D 1–1,Sheffield Utd,Watford,N,FW,27,0,0,0,0,1,0,0,0,10,5,0,0,0,0.1,0.1,0.5,1,0,4,4,100.0,17,6,60,0,1
Sun,Matchweek 20,Away,L 0–2,Sheffield Utd,Manchester City,Y,FW,83,0,0,0,0,4,0,0,0,20,20,0,0,0,0.6,0.6,0.0,2,0,13,14,92.9,43,16,78,2,3
Thu,Matchweek 21,Away,L 0–2,Sheffield Utd,Liverpool,Y,FW,65,0,0,0,0,0,0,0,0,15,11,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,1,13,30,1,2
Fri,Matchweek 22,Home,W 1–0,Sheffield Utd,West Ham,N,FW,30,0,0,0,0,2,1,0,0,19,2,0,0,0,0.3,0.3,0.0,1,0,9,11,81.8,8,17,47,2,2
Sat,Matchweek 23,Away,D 1–1,Sheffield Utd,Arsenal,Y,FW,56,0,0,0,0,1,0,0,0,15,34,0,0,1,0.1,0.1,0.0,0,0,7,9,77.8,5,10,49,0,1
Tue,Matchweek 24,Home,L 0–1,Sheffield Utd,Manchester City,N,FW,31,0,0,0,0,1,1,0,0,14,7,0,0,0,0.1,0.1,0.0,0,0,5,6,83.3,10,10,7,0,0
Sat,Matchweek 25,Away,W 1–0,Sheffield Utd,Crystal Palace,N,FW,26,0,0,0,0,2,1,0,0,20,7,1,0,0,0.1,0.1,0.1,3,0,13,16,81.3,42,16,78,2,2
Sun,Matchweek 26,Home,W 2–1,Sheffield Utd,Bournemouth,N,FW,16,0,1,0,0,1,0,1,0,11,5,0,0,0,0.2,0.2,0.2,1,1,4,5,80.0,15,7,5,0,0
