Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 1,Away,D 1–1,Sheffield Utd,Bournemouth,N,FW,27,0,0,0,0,1,0,0,0,19,7,0,0,1,0.3,0.3,0.0,1,1,10,12,83.3,11,9,43,0,0
Sun,Matchweek 2,Home,W 1–0,Sheffield Utd,Crystal Palace,N,FW,34,0,0,0,0,2,0,0,0,25,15,0,1,3,0.3,0.3,0.0,0,0,5,9,55.6,27,17,7,2,4
Sat,Matchweek 3,Home,L 1–2,Sheffield Utd,Leicester City,N,FW,36,1,0,0,0,1,1,0,0,18,6,0,0,0,0.2,0.2,0.0,1,0,11,13,84.6,20,10,29,0,1
Sat,Matchweek 4,Away,D 2–2,Sheffield Utd,Chelsea,Y,FW,63,0,0,0,0,0,0,1,0,24,25,1,1,1,0.0,0.0,0.1,1,0,13,18,72.2,69,10,66,1,1
Sat,Matchweek 5,Home,L 0–1,Sheffield Utd,Southampton,Y,FW,65,0,0,0,0,0,0,0,0,23,21,1,0,0,0.0,0.0,0.3,1,0,9,15,60.0,31,18,33,1,1
Sat,Matchweek 6,Away,W 2–0,Sheffield Utd,Everton,Y,FW,83,0,0,0,0,0,0,0,0,26,20,1,1,0,0.0,0.0,0.0,0,0,9,16,56.3,79,10,4,0,0
Sat,Matchweek 7,Home,L 0–1,Sheffield Utd,Liverpool,Y,FW AM,90,0,0,0,0,4,1,0,0,37,26,1,0,3,0.4,0.4,0.0,0,0,13,18,72.2,45,15,44,0,1
Sat,Matchweek 8,Away,D 0–0,Sheffield Utd,Watford,Y,FW,62,0,0,0,0,1,0,1,0,26,14,2,1,0,0.0,0.0,0.1,1,0,10,12,83.3,28,10,30,0,1
Mon,Matchweek 9,Home,W 1–0,Sheffield Utd,Arsenal,N,CM,5,0,0,0,0,1,0,0,0,6,5,0,0,0,0.1,0.1,0.0,1,0,2,2,100.0,0,3,5,0,0
Sat,Matchweek 11,Home,W 3–0,Sheffield Utd,Burnley,N,FW,15,0,0,0,0,0,0,0,0,9,5,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,35,5,12,0,0
Sun,Matchweek 13,Home,D 3–3,Sheffield Utd,Manchester Utd,N,FW,22,1,0,0,0,1,1,0,0,11,11,2,1,0,0.2,0.2,0.0,0,0,3,8,37.5,14,4,18,0,0
