Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 4,Home,D 1–1,Southampton,Manchester Utd,N,FW,28.0,0,0,0,0,0,0,0,0,20,10,0,0,0,0.0,0.0,0.0,0,0,11,14,78.6,15,10,23,0,0
Sat,Matchweek 5,Away,W 1–0,Southampton,Sheffield Utd,N,FW,,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Sat,Matchweek 7,Away,L 1–2,Southampton,Tottenham,N,RW,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0
Sun,Matchweek 8,Home,L 1–4,Southampton,Chelsea,Y,LW RW,73.0,0,0,0,0,0,0,0,0,23,17,2,0,0,0.0,0.0,0.0,2,0,7,16,43.8,11,10,28,1,1
Sat,Matchweek 13,Away,D 2–2,Southampton,Arsenal,N,FW,17.0,0,0,0,0,0,0,0,0,15,6,0,0,2,0.0,0.0,0.1,2,0,8,10,80.0,26,9,10,0,0
Sat,Matchweek 14,Home,W 2–1,Southampton,Watford,N,FW,33.0,0,0,0,0,2,1,0,0,12,6,0,0,0,0.7,0.7,0.0,0,0,3,6,50.0,0,6,12,0,0
Wed,Matchweek 15,Home,W 2–1,Southampton,Norwich City,Y,FW,85.0,0,1,0,0,3,1,0,0,43,38,4,0,2,0.2,0.2,0.1,2,1,20,29,69.0,76,22,12,0,1
Sun,Matchweek 16,Away,L 1–2,Southampton,Newcastle Utd,Y,FW,90.0,0,0,0,0,3,0,0,0,51,22,0,0,1,0.2,0.2,0.1,5,0,20,38,52.6,88,21,77,1,2
Sat,Matchweek 17,Home,L 0–1,Southampton,West Ham,Y,FW,84.0,0,0,0,0,2,1,0,0,37,16,0,0,3,0.4,0.4,0.0,1,0,13,27,48.1,19,18,23,0,0
Sat,Matchweek 18,Away,W 3–1,Southampton,Aston Villa,Y,FW,82.0,0,0,0,0,4,1,0,0,30,16,0,0,1,1.1,1.1,0.1,2,1,11,20,55.0,48,15,38,1,1
Wed,Matchweek 21,Home,W 1–0,Southampton,Tottenham,N,FW,32.0,0,0,0,0,1,0,0,0,30,10,1,1,0,0.2,0.2,0.0,1,0,9,17,52.9,12,14,46,0,1
Sat,Matchweek 22,Away,W 2–1,Southampton,Leicester City,Y,FW,78.0,0,1,0,0,1,1,0,0,31,12,1,0,0,0.0,0.0,0.0,2,1,12,22,54.5,70,11,12,0,0
Sat,Matchweek 23,Home,L 2–3,Southampton,Wolves,Y,FW,71.0,1,0,0,0,3,1,0,0,28,23,2,0,0,0.2,0.2,0.0,0,0,4,15,26.7,16,11,9,0,1
Tue,Matchweek 24,Away,W 2–0,Southampton,Crystal Palace,Y,FW,70.0,0,0,0,0,2,1,0,0,34,12,1,0,0,0.5,0.5,0.3,1,0,12,21,57.1,66,22,81,1,3
Sat,Matchweek 25,Away,L 0–4,Southampton,Liverpool,Y,FW,70.0,0,0,0,0,2,1,0,0,32,16,0,0,1,0.2,0.2,0.2,4,0,16,24,66.7,82,15,38,1,1
Sat,Matchweek 26,Home,L 1–2,Southampton,Burnley,Y,FW,86.0,0,0,0,0,1,0,0,0,25,13,1,0,0,0.1,0.1,0.0,1,0,9,17,52.9,49,11,9,0,1
Sat,Matchweek 27,Home,W 2–0,Southampton,Aston Villa,Y,FW,73.0,1,0,0,0,2,1,0,0,29,19,0,0,3,0.3,0.3,0.3,3,0,10,20,50.0,31,12,28,1,1
Sat,Matchweek 28,Away,L 1–3,Southampton,West Ham,Y,FW,90.0,0,0,0,0,1,0,0,0,35,15,1,0,2,0.0,0.0,0.0,1,0,11,23,47.8,12,22,22,1,3
Sat,Matchweek 29,Home,L 0–1,Southampton,Newcastle Utd,Y,FW,77.0,0,0,0,0,3,1,0,0,37,16,1,0,0,0.3,0.3,0.0,0,0,12,21,57.1,9,17,36,1,1
