Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 1,Home,W 3–1,Tottenham,Aston Villa,Y,FW,90,2,0,0,0,7,2,0,0,37,16,0,0,0,0.8,0.8,0.1,4,0,20,27,74.1,55,32,122,0,1
Sat,Matchweek 2,Away,D 2–2,Tottenham,Manchester City,Y,FW,90,0,0,0,0,1,0,0,0,22,40,0,0,2,0.0,0.0,0.0,0,0,10,13,76.9,28,16,42,0,0
Sun,Matchweek 3,Home,L 0–1,Tottenham,Newcastle Utd,Y,FW,90,0,0,0,0,1,0,0,0,23,9,0,0,0,0.1,0.1,0.0,0,0,10,18,55.6,30,18,52,1,3
Sun,Matchweek 4,Away,D 2–2,Tottenham,Arsenal,Y,FW,90,1,0,1,1,2,1,0,0,30,19,0,0,1,0.8,0.1,0.1,4,0,7,13,53.8,42,20,83,2,5
Sat,Matchweek 5,Home,W 4–0,Tottenham,Crystal Palace,Y,FW,85,0,1,0,0,1,0,0,0,27,15,0,1,1,0.0,0.0,0.2,1,1,11,17,64.7,66,20,25,1,1
Sat,Matchweek 6,Away,L 1–2,Tottenham,Leicester City,Y*,FW,90,1,0,0,0,6,4,0,0,46,16,2,1,2,0.9,0.9,0.0,1,0,22,24,91.7,84,24,120,0,1
Sat,Matchweek 7,Home,W 2–1,Tottenham,Southampton,Y,FW,90,1,0,0,0,4,1,0,0,42,17,0,0,0,0.3,0.3,0.0,1,0,17,25,68.0,62,27,119,1,4
Sat,Matchweek 8,Away,L 0–3,Tottenham,Brighton,Y,FW,90,0,0,0,0,1,0,0,0,26,18,0,0,0,0.2,0.2,0.1,3,0,15,20,75.0,12,19,33,1,3
Sat,Matchweek 9,Home,D 1–1,Tottenham,Watford,Y*,FW,90,0,0,0,0,3,0,0,0,27,14,1,1,2,0.1,0.1,0.0,0,0,9,14,64.3,22,18,42,1,2
Sun,Matchweek 10,Away,L 1–2,Tottenham,Liverpool,Y*,FW,90,1,0,0,0,1,1,0,0,29,14,2,0,3,0.5,0.5,0.0,2,0,9,14,64.3,44,14,12,0,0
Sat,Matchweek 12,Home,D 1–1,Tottenham,Sheffield Utd,Y*,FW,90,0,0,0,0,2,0,0,0,26,3,0,0,2,0.3,0.3,0.0,1,0,11,17,64.7,41,13,75,0,3
Sat,Matchweek 13,Away,W 3–2,Tottenham,West Ham,Y*,FW,90,1,0,0,0,2,2,1,0,43,16,1,0,2,0.2,0.2,0.0,1,0,17,29,58.6,130,26,70,0,2
Sat,Matchweek 14,Home,W 3–2,Tottenham,Bournemouth,Y*,FW,90,0,0,0,0,3,1,0,0,34,26,0,1,0,0.3,0.3,0.2,4,0,16,23,69.6,117,22,83,2,2
Wed,Matchweek 15,Away,L 1–2,Tottenham,Manchester Utd,Y*,FW,90,0,0,0,0,2,0,0,0,38,25,1,0,1,0.1,0.1,0.0,1,0,18,29,62.1,107,21,50,1,2
Sat,Matchweek 16,Home,W 5–0,Tottenham,Burnley,Y*,FW,90,2,1,0,0,6,2,0,0,50,17,1,0,0,0.3,0.3,0.2,4,1,22,36,61.1,126,35,133,1,2
Sun,Matchweek 17,Away,W 2–1,Tottenham,Wolves,Y*,FW,90,0,0,0,0,2,1,1,0,37,26,2,0,1,0.1,0.1,0.1,3,0,14,24,58.3,81,25,106,3,4
Sun,Matchweek 18,Home,L 0–2,Tottenham,Chelsea,Y*,FW,90,0,0,0,0,2,1,0,0,29,28,0,0,1,0.3,0.3,0.1,1,0,11,18,61.1,72,15,36,0,1
Thu,Matchweek 19,Home,W 2–1,Tottenham,Brighton,Y*,FW,90,1,0,0,0,4,2,0,0,34,16,3,0,0,0.6,0.6,0.2,2,1,12,20,60.0,74,30,132,3,4
Sat,Matchweek 20,Away,D 2–2,Tottenham,Norwich City,Y*,FW,90,1,0,1,1,1,1,0,0,33,5,0,0,0,1.0,0.2,0.2,2,1,23,26,88.5,63,28,86,2,3
Wed,Matchweek 21,Away,L 0–1,Tottenham,Southampton,Y*,FW,75,0,0,0,0,2,2,0,0,24,10,0,0,0,0.1,0.1,0.1,2,0,10,17,58.8,41,20,72,2,2
