Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 1,Home,L 0–3,Watford,Brighton,Y,FW,75.0,0,0,0,0,1,1,0,0,12,15,0,0,0,0.3,0.3,0.0,1,0,7,8,87.5,7,6,2,0,1
Sat,Matchweek 2,Away,L 0–1,Watford,Everton,N,FW DM,7.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.1,1,0,1,1,100.0,0,0,0,0,0
Sat,Matchweek 3,Home,L 1–3,Watford,West Ham,Y,FW,90.0,1,0,0,0,5,1,0,0,27,5,0,0,0,0.5,0.5,0.9,4,0,11,16,68.8,43,14,6,1,2
Sat,Matchweek 4,Away,D 1–1,Watford,Newcastle Utd,Y,FW,82.0,0,0,0,0,1,0,0,0,19,14,1,0,0,0.1,0.1,0.0,0,0,6,11,54.5,6,14,20,1,2
Sun,Matchweek 5,Home,D 2–2,Watford,Arsenal,Y,FW,54.0,0,0,0,0,1,0,0,0,14,5,0,0,0,0.1,0.1,0.0,0,0,8,9,88.9,18,7,14,0,0
Sat,Matchweek 6,Away,L 0–8,Watford,Manchester City,N,FW,13.0,0,0,0,0,1,1,0,0,14,5,0,0,0,0.1,0.1,0.0,1,0,4,8,50.0,21,9,8,0,1
Sat,Matchweek 7,Away,L 0–2,Watford,Wolves,N,FW,19.0,0,0,0,0,2,1,0,0,12,4,1,0,0,0.1,0.1,0.1,3,0,6,7,85.7,9,8,2,0,0
Sat,Matchweek 8,Home,D 0–0,Watford,Sheffield Utd,Y,FW,59.0,0,0,0,0,1,0,0,0,15,13,0,1,0,0.8,0.8,0.4,1,0,7,9,77.8,28,11,16,0,1
Sat,Matchweek 10,Home,D 0–0,Watford,Bournemouth,N,FW,33.0,0,0,0,0,0,0,0,0,16,5,1,0,0,0.0,0.0,0.0,0,0,8,10,80.0,37,13,51,0,1
Sat,Matchweek 11,Home,L 1–2,Watford,Chelsea,Y,FW,90.0,0,0,0,0,1,0,0,0,23,36,0,0,1,0.1,0.1,0.0,0,0,7,16,43.8,6,16,10,1,1
Fri,Matchweek 12,Away,W 2–0,Watford,Norwich City,N,FW,59.0,1,0,0,0,3,1,0,0,24,22,1,0,1,0.3,0.3,0.0,1,0,10,15,66.7,44,23,81,1,1
Sat,Matchweek 13,Home,L 0–3,Watford,Burnley,Y,FW,56.0,0,0,0,0,0,0,1,0,12,4,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,46,9,3,0,0
Sat,Matchweek 14,Away,L 1–2,Watford,Southampton,N,FW,23.0,0,0,0,0,1,0,0,0,6,5,0,0,0,0.1,0.1,0.0,0,0,2,4,50.0,14,3,17,0,1
Wed,Matchweek 15,Away,L 0–2,Watford,Leicester City,N,FW,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
Sat,Matchweek 16,Home,D 0–0,Watford,Crystal Palace,N,RW,13.0,0,0,0,0,1,1,0,0,4,0,0,0,0,0.2,0.2,0.2,1,0,1,2,50.0,2,3,8,0,0
Sat,Matchweek 17,Away,L 0–2,Watford,Liverpool,N,FW,15.0,0,0,0,0,0,0,0,0,7,5,0,0,1,0.0,0.0,0.0,0,0,3,6,50.0,24,5,25,1,1
Thu,Matchweek 19,Away,D 1–1,Watford,Sheffield Utd,N,FW,10.0,0,0,0,0,0,0,0,0,5,4,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,4,20,1,1
Sun,Matchweek 22,Away,W 3–0,Watford,Bournemouth,N,LW,,0,0,0,0,1,0,0,0,2,0,0,0,0,0.2,0.2,0.0,1,1,0,0,,0,1,4,0,0
Tue,Matchweek 24,Away,L 1–2,Watford,Aston Villa,N,FW,9.0,0,0,0,0,0,0,0,0,6,8,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,4,0,0
Sat,Matchweek 29,Away,L 0–1,Watford,Crystal Palace,N,CM,6.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,10,2,0,0,0
