Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sat,Matchweek 1,Home,L 0–3,Watford,Brighton,Y,AM,45,0,0,0,0,1,0,0,0,27,19,0,0,2,0.0,0.0,0.0,1,0,15,20,75.0,31,21,103,1,1
Sat,Matchweek 2,Away,L 0–1,Watford,Everton,Y,FW,79,0,0,0,0,0,0,0,0,33,15,2,0,0,0.0,0.0,0.6,1,0,16,25,64.0,112,29,184,3,3
Sat,Matchweek 3,Home,L 1–3,Watford,West Ham,Y,LW,74,0,0,0,0,6,1,0,0,51,1,0,0,1,0.4,0.4,0.1,4,1,29,41,70.7,142,44,282,4,5
Sat,Matchweek 4,Away,D 1–1,Watford,Newcastle Utd,N,FW,8,0,0,0,0,0,0,0,0,13,3,1,0,0,0.0,0.0,0.0,1,0,5,9,55.6,5,10,8,0,0
Sun,Matchweek 5,Home,D 2–2,Watford,Arsenal,Y,LW,90,0,1,0,0,7,4,0,0,81,23,4,2,1,0.3,0.3,0.6,14,0,52,66,78.8,211,70,558,7,8
Sat,Matchweek 6,Away,L 0–8,Watford,Manchester City,Y,FW,77,0,0,0,0,3,3,1,0,27,25,0,2,0,0.3,0.3,0.0,1,0,13,19,68.4,16,12,154,1,3
Sat,Matchweek 7,Away,L 0–2,Watford,Wolves,Y,LW,45,0,0,0,0,1,0,0,0,26,8,1,1,0,0.0,0.0,0.1,1,0,13,17,76.5,62,19,139,1,3
Sat,Matchweek 8,Home,D 0–0,Watford,Sheffield Utd,N,FW,31,0,0,0,0,0,0,0,0,15,13,0,0,0,0.0,0.0,0.2,1,0,7,11,63.6,44,14,116,0,2
Sat,Matchweek 9,Away,D 1–1,Watford,Tottenham,N,FW,86,0,0,0,0,3,1,0,0,32,25,0,0,0,0.1,0.1,0.2,2,0,23,25,92.0,82,23,157,1,2
Sat,Matchweek 10,Home,D 0–0,Watford,Bournemouth,Y,FW,90,0,0,0,0,2,1,1,0,48,11,0,1,0,0.3,0.3,0.0,0,0,22,35,62.9,129,39,272,4,9
Sat,Matchweek 11,Home,L 1–2,Watford,Chelsea,Y,FW,90,1,0,1,1,1,0,0,0,43,39,2,2,0,0.8,0.1,0.2,6,1,23,30,76.7,117,31,214,1,2
Fri,Matchweek 12,Away,W 2–0,Watford,Norwich City,Y,FW,70,1,1,0,0,3,1,0,0,43,12,1,1,1,0.1,0.1,0.1,3,2,22,30,73.3,94,36,205,3,5
Sat,Matchweek 13,Home,L 0–3,Watford,Burnley,Y,FW LW,90,0,0,0,0,4,3,0,0,48,12,1,0,0,0.2,0.2,0.2,7,0,27,37,73.0,102,40,421,1,3
Sat,Matchweek 14,Away,L 1–2,Watford,Southampton,Y,FW,67,0,0,0,0,0,0,0,0,35,14,0,0,1,0.0,0.0,0.0,0,0,17,26,65.4,44,21,85,0,4
Wed,Matchweek 15,Away,L 0–2,Watford,Leicester City,Y,FW,77,0,0,0,0,0,0,0,0,41,16,0,0,0,0.0,0.0,0.2,1,0,20,29,69.0,117,28,49,1,4
Sat,Matchweek 16,Home,D 0–0,Watford,Crystal Palace,Y,LW,90,0,0,0,0,3,1,0,0,50,20,1,1,0,0.2,0.2,0.5,4,0,23,40,57.5,117,36,184,3,3
Sat,Matchweek 17,Away,L 0–2,Watford,Liverpool,Y,LW,90,0,0,0,0,1,1,0,0,45,20,1,1,1,0.3,0.3,0.0,2,0,23,35,65.7,56,34,213,1,2
Sun,Matchweek 18,Home,W 2–0,Watford,Manchester Utd,Y,LW,90,0,0,0,0,1,0,0,0,50,23,2,3,1,0.1,0.1,0.2,8,0,27,37,73.0,118,47,329,9,10
Thu,Matchweek 19,Away,D 1–1,Watford,Sheffield Utd,Y,LW,90,1,0,0,0,4,1,1,0,44,24,1,0,0,0.5,0.5,0.1,2,0,20,27,74.1,69,39,155,1,3
Sat,Matchweek 20,Home,W 3–0,Watford,Aston Villa,Y,LW CM,90,0,0,0,0,0,0,0,0,53,12,0,4,3,0.0,0.0,0.3,9,0,34,42,81.0,249,47,279,4,5
Wed,Matchweek 21,Home,W 2–1,Watford,Wolves,Y,LW,73,1,1,0,0,3,1,0,0,40,26,2,0,0,0.2,0.2,0.4,4,1,25,30,83.3,58,30,131,3,4
Sun,Matchweek 22,Away,W 3–0,Watford,Bournemouth,Y,LW,90,0,0,0,0,4,1,0,0,43,25,1,0,1,0.5,0.5,0.0,4,0,24,32,75.0,134,33,323,2,3
Sat,Matchweek 23,Home,D 0–0,Watford,Tottenham,Y,LW,90,0,0,0,0,3,0,0,0,57,22,3,2,0,0.2,0.2,0.0,2,0,27,35,77.1,99,43,220,3,10
Tue,Matchweek 24,Away,L 1–2,Watford,Aston Villa,Y,LW CM,90,0,1,0,0,4,1,0,0,35,28,2,1,1,0.3,0.3,0.5,2,1,20,23,87.0,82,29,155,2,3
Sat,Matchweek 25,Home,L 2–3,Watford,Everton,Y,LW CM,82,0,1,0,0,2,0,0,0,37,28,2,0,0,0.1,0.1,0.1,4,1,18,20,90.0,67,28,118,2,5
