Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PassPrgDist,Carries,CarryPrgDist,Succ,DribAtt
Sun,Matchweek 1,Away,D 0–0,Wolves,Leicester City,Y,FW,90,0,0,0,0,2,2,0,0,46,18,0,2,3,0.2,0.2,0.0,1,0,15,26,57.7,72,31,142,4,6
Mon,Matchweek 2,Home,D 1–1,Wolves,Manchester Utd,Y,FW,90,0,0,0,0,2,0,0,0,33,32,1,0,0,0.1,0.1,0.0,1,0,21,24,87.5,54,30,133,6,7
Sun,Matchweek 3,Home,D 1–1,Wolves,Burnley,Y,FW,90,1,0,1,1,2,0,0,0,48,13,0,0,1,1.0,0.2,0.0,3,1,28,37,75.7,138,38,125,2,2
Sun,Matchweek 4,Away,L 2–3,Wolves,Everton,Y,FW,90,1,0,0,0,2,2,1,0,42,14,0,1,1,0.3,0.3,0.0,1,0,15,24,62.5,38,28,128,1,2
Sat,Matchweek 5,Home,L 2–5,Wolves,Chelsea,Y,FW,70,0,0,0,0,2,0,0,0,38,14,0,1,0,0.2,0.2,0.0,0,0,22,30,73.3,48,32,40,2,2
Sun,Matchweek 6,Away,D 1–1,Wolves,Crystal Palace,Y,FW,76,0,0,0,0,2,1,0,0,28,25,1,0,0,0.1,0.1,0.3,4,0,14,22,63.6,62,23,45,2,2
Sat,Matchweek 7,Home,W 2–0,Wolves,Watford,Y,FW,80,0,0,0,0,2,0,0,0,25,20,1,0,0,0.3,0.3,0.1,1,0,14,18,77.8,60,17,26,0,1
Sun,Matchweek 8,Away,W 2–0,Wolves,Manchester City,Y,FW,90,0,2,0,0,2,0,0,0,31,23,1,1,0,0.3,0.3,1.0,8,3,10,16,62.5,37,25,237,6,6
Sat,Matchweek 9,Home,D 1–1,Wolves,Southampton,Y,FW,90,1,0,1,1,0,0,1,0,41,13,0,0,0,0.8,0.0,0.0,0,0,22,30,73.3,40,33,46,1,2
Sun,Matchweek 10,Away,D 1–1,Wolves,Newcastle Utd,Y,FW,90,0,0,0,0,2,1,0,0,47,13,1,0,1,0.0,0.0,0.3,3,0,26,36,72.2,103,32,86,1,1
Sat,Matchweek 11,Away,D 1–1,Wolves,Arsenal,Y,FW,90,1,0,0,0,8,4,0,0,47,28,4,1,1,0.4,0.4,0.0,3,0,21,28,75.0,24,30,116,0,0
Sun,Matchweek 12,Home,W 2–1,Wolves,Aston Villa,Y,FW,90,1,0,0,0,5,1,0,0,40,10,3,0,1,0.6,0.6,0.1,5,0,22,23,95.7,49,32,159,4,6
Sat,Matchweek 13,Away,W 2–1,Wolves,Bournemouth,Y,FW,90,1,0,0,0,6,3,0,0,43,20,2,0,1,0.8,0.8,0.1,2,0,21,26,80.8,84,33,34,1,2
Sun,Matchweek 14,Home,D 1–1,Wolves,Sheffield Utd,Y,FW,90,0,1,0,0,4,1,0,0,47,11,2,1,0,0.5,0.5,0.3,4,1,22,29,75.9,113,36,160,2,5
Wed,Matchweek 15,Home,W 2–0,Wolves,West Ham,Y,FW,84,0,0,0,0,5,2,0,0,47,14,0,0,0,0.5,0.5,0.4,3,0,28,36,77.8,126,37,158,3,3
Sun,Matchweek 16,Away,D 2–2,Wolves,Brighton,Y,FW,85,0,1,0,0,0,0,0,0,29,16,1,0,1,0.0,0.0,0.9,4,1,16,20,80.0,71,20,82,2,3
Sun,Matchweek 17,Home,L 1–2,Wolves,Tottenham,Y,FW,90,0,1,0,0,5,1,0,0,49,10,2,0,0,0.3,0.3,0.1,2,1,23,32,71.9,104,37,139,2,4
Sat,Matchweek 18,Away,W 2–1,Wolves,Norwich City,Y,FW,90,1,0,0,0,4,2,0,0,41,23,1,1,2,0.5,0.5,0.1,4,0,18,24,75.0,71,26,93,0,0
Fri,Matchweek 19,Home,W 3–2,Wolves,Manchester City,Y,FW,90,1,1,0,0,5,2,0,0,47,21,0,1,1,0.7,0.7,0.8,2,0,25,33,75.8,113,35,52,1,4
